Año	Grupo Antigüedad	Nº Accidentes	Ord_Temporalidad	Temporalidad	Código	Municipio
2020	De 37 meses a 10 años	3	3	Sin clasificar	22130	Jaca
2020	De 37 meses a 10 años	57	1	Indefinido	22158	Monzón
2020	De 37 meses a 10 años	5	2	Temporal	22158	Monzón
2020	De 37 meses a 10 años	4	3	Sin clasificar	22158	Monzón
2020	De 37 meses a 10 años	13	1	Indefinido	22199	Sabiñánigo
2020	De 37 meses a 10 años	2	2	Temporal	22199	Sabiñánigo
2020	De 37 meses a 10 años	1	3	Sin clasificar	22199	Sabiñánigo
2020	De 37 meses a 10 años	27	1	Indefinido	44013	Alcañiz
2020	De 37 meses a 10 años	5	2	Temporal	44013	Alcañiz
2020	De 37 meses a 10 años	5	3	Sin clasificar	44013	Alcañiz
2020	De 37 meses a 10 años	10	1	Indefinido	44025	Andorra
2020	De 37 meses a 10 años	3	2	Temporal	44025	Andorra
2020	De 37 meses a 10 años	2	3	Sin clasificar	44025	Andorra
2020	De 37 meses a 10 años	85	1	Indefinido	44216	Teruel
2020	De 37 meses a 10 años	28	2	Temporal	44216	Teruel
2020	De 37 meses a 10 años	7	3	Sin clasificar	44216	Teruel
2020	De 37 meses a 10 años	11	1	Indefinido	50008	Alagón
2020	De 37 meses a 10 años	1	3	Sin clasificar	50008	Alagón
2020	De 37 meses a 10 años	25	1	Indefinido	50025	Almunia de Doña Godina (La)
2020	De 37 meses a 10 años	1	2	Temporal	50025	Almunia de Doña Godina (La)
2020	De 37 meses a 10 años	1	3	Sin clasificar	50025	Almunia de Doña Godina (La)
2020	De 37 meses a 10 años	27	1	Indefinido	50067	Calatayud
2020	De 37 meses a 10 años	1	2	Temporal	50067	Calatayud
2020	De 37 meses a 10 años	4	3	Sin clasificar	50067	Calatayud
2020	De 37 meses a 10 años	7	1	Indefinido	50074	Caspe
2020	De 37 meses a 10 años	2	2	Temporal	50074	Caspe
2020	De 37 meses a 10 años	3	3	Sin clasificar	50074	Caspe
2020	De 37 meses a 10 años	33	1	Indefinido	50089	Cuarte de Huerva
2020	De 37 meses a 10 años	1	2	Temporal	50089	Cuarte de Huerva
