Año	Municipio código	Municipio nombre	Origen	Tipo de alojamiento	Plazas	Establecimientos
2009	22110	Fonz	IAEST	Campings y áreas de acampada	0	0
2009	22110	Fonz	IAEST	Hoteles, hostales y similares	13	1
2009	22110	Fonz	IAEST	Viviendas de turismo rural	49	5
2009	22111	Foradada del Toscar	IAEST	Apartamentos turísticos	22	6
2009	22111	Foradada del Toscar	IAEST	Campings y áreas de acampada	0	0
2009	22111	Foradada del Toscar	IAEST	Hoteles, hostales y similares	0	0
2009	22111	Foradada del Toscar	IAEST	Viviendas de turismo rural	90	11
2009	22112	Fraga	IAEST	Apartamentos turísticos	0	0
2009	22112	Fraga	IAEST	Campings y áreas de acampada	150	1
2009	22112	Fraga	IAEST	Hoteles, hostales y similares	320	8
2009	22112	Fraga	IAEST	Viviendas de turismo rural	0	0
2009	22113	Fueva (La)	IAEST	Apartamentos turísticos	23	6
2009	22113	Fueva (La)	IAEST	Campings y áreas de acampada	0	0
2009	22113	Fueva (La)	IAEST	Hoteles, hostales y similares	0	0
2009	22113	Fueva (La)	IAEST	Viviendas de turismo rural	191	26
2009	22114	Gistaín	IAEST	Apartamentos turísticos	0	0
2009	22114	Gistaín	IAEST	Campings y áreas de acampada	132	1
2009	22114	Gistaín	IAEST	Hoteles, hostales y similares	22	1
2009	22114	Gistaín	IAEST	Viviendas de turismo rural	99	13
2009	22115	Grado (El)	IAEST	Apartamentos turísticos	14	3
2009	22115	Grado (El)	IAEST	Campings y áreas de acampada	0	0
2009	22115	Grado (El)	IAEST	Hoteles, hostales y similares	143	4
2009	22115	Grado (El)	IAEST	Viviendas de turismo rural	4	1
2009	22116	Grañén	IAEST	Apartamentos turísticos	0	0
2009	22116	Grañén	IAEST	Campings y áreas de acampada	0	0
2009	22116	Grañén	IAEST	Hoteles, hostales y similares	68	2
2009	22116	Grañén	IAEST	Viviendas de turismo rural	13	2
2009	22117	Graus	IAEST	Apartamentos turísticos	0	0
2009	22117	Graus	IAEST	Campings y áreas de acampada	210	1
2009	22117	Graus	IAEST	Hoteles, hostales y similares	163	6
2009	22117	Graus	IAEST	Viviendas de turismo rural	87	12
2009	22119	Gurrea de Gállego	IAEST	Apartamentos turísticos	0	0
2009	22119	Gurrea de Gállego	IAEST	Campings y áreas de acampada	360	1
2009	22119	Gurrea de Gállego	IAEST	Hoteles, hostales y similares	0	0
2009	22119	Gurrea de Gállego	IAEST	Viviendas de turismo rural	11	1
2009	22122	Hoz de Jaca	IAEST	Apartamentos turísticos	0	0
2009	22122	Hoz de Jaca	IAEST	Campings y áreas de acampada	0	0
2009	22122	Hoz de Jaca	IAEST	Hoteles, hostales y similares	0	0
2009	22122	Hoz de Jaca	IAEST	Viviendas de turismo rural	6	1
2009	22124	Huerto	IAEST	Apartamentos turísticos	0	0
2009	22124	Huerto	IAEST	Campings y áreas de acampada	0	0
2009	22124	Huerto	IAEST	Hoteles, hostales y similares	0	0
2009	22124	Huerto	IAEST	Viviendas de turismo rural	0	0
2009	22125	Huesca	IAEST	Apartamentos turísticos	0	0
2009	22125	Huesca	IAEST	Campings y áreas de acampada	213	1
2009	22125	Huesca	IAEST	Hoteles, hostales y similares	1226	21
2009	22125	Huesca	IAEST	Viviendas de turismo rural	12	2
2009	22126	Ibieca	IAEST	Apartamentos turísticos	0	0
2009	22126	Ibieca	IAEST	Campings y áreas de acampada	0	0
2009	22126	Ibieca	IAEST	Hoteles, hostales y similares	0	0
2009	22126	Ibieca	IAEST	Viviendas de turismo rural	0	0
2009	22127	Igriés	IAEST	Apartamentos turísticos	0	0
2009	22127	Igriés	IAEST	Campings y áreas de acampada	0	0
2009	22127	Igriés	IAEST	Hoteles, hostales y similares	0	0
2009	22127	Igriés	IAEST	Viviendas de turismo rural	0	0
2009	22128	Ilche	IAEST	Apartamentos turísticos	0	0
2009	22128	Ilche	IAEST	Campings y áreas de acampada	0	0
2009	22128	Ilche	IAEST	Hoteles, hostales y similares	0	0
2009	22128	Ilche	IAEST	Viviendas de turismo rural	0	0
2009	22129	Isábena	IAEST	Apartamentos turísticos	44	10
