Municipio código	Municipio nombre	Explotaciones	Superficie total	SAU	Superficie tierras labradas
22204	Sallent de Gállego	64	15173,79	8438,3	181,58
22205	San Esteban de Litera	240	6748,38	5112,65	4156,04
22206	Sangarrén	47	2182,37	2162,9	2057,9
22207	San Juan de Plan	24	3484,41	1129,71	120,44
22208	Santa Cilia	31	2748,4	1740,8	967,29
22209	Santa Cruz de la Serós	22	2286,14	1471,05	635
22212	Santaliestra y San Quílez	14	933,27	293,59	179,77
22213	Sariñena	383	20475,8	19685,83	17370,92
22214	Secastilla	25	1226,74	830,74	708,08
22215	Seira	23	4509,98	1493,52	41,59
22217	Sena	132	7087,55	6733,66	5457,43
22218	Senés de Alcubierre	21	1058,41	1057,86	903,89
22220	Sesa	34	2355,71	2277,15	2246,72
22221	Sesué	11	529,91	353,03	99,08
22222	Siétamo	60	3834,54	3358,96	2986,82
22223	Sopeira	22	2145,18	1586,38	196,4
22225	Tamarite de Litera	480	10950,6	10208,61	8618,91
22226	Tardienta	78	4413,64	4337,9	3853,99
22227	Tella-Sin	22	6722,17	3408,95	7,79
22228	Tierz	16	579,56	578,37	578,37
22229	Tolva	60	3623,23	2615,02	1575,35
22230	Torla	35	15515,75	8554,49	53,35
22232	Torralba de Aragón	46	3172,74	3096,78	2170,43
22233	Torre la Ribera	23	1771,5	1369,24	321,48
22234	Torrente de Cinca	92	5247,29	3578,46	3495,11
22235	Torres de Alcanadre	23	1692,43	1666,25	1525,08
22236	Torres de Barbués	46	1078,96	1045,41	1044,76
22239	Tramaced	29	795,23	762,52	658,77
22242	Valfarta	30	2374,55	2010,05	1685,23
22243	Valle de Bardají	29	1444,64	1238,03	154,14
22244	Valle de Lierp	34	2424,46	1533,14	551,76
22245	Velilla de Cinca	53	1297,86	976,62	759,66
22246	Veracruz	20	1025,3	584,5	155,01
22247	Viacamp y Litera	42	6892,68	3432,36	837,51
22248	Vicién	11	1386,14	1329,91	1280,01
22249	Villanova	8	620,62	400,45	40,63
22250	Villanúa	13	5666,43	2290,58	136,82
22251	Villanueva de Sigena	122	14197,91	12982,5	10587,95
22252	Yebra de Basa	26	2407,31	1512,26	460,69
22253	Yésero	3	1767,67	1658,33	30,14
22254	Zaidín	324	6241,53	5902,5	5344,05
22901	Valle de Hecho	64	22695,23	6574,75	292,87
22902	Puente la Reina de Jaca	47	3710,23	2977,13	1962,21
22903	San Miguel del Cinca	201	10025,75	9387,92	8629,15
22904	Sotonera (La)	222	12617,62	11079,59	9890,71
22905	Lupiñén-Ortilla	71	8133,99	7957,28	7761,52
22906	Santa María de Dulcis	60	1545,76	1084,99	747,35
