Año	Comarca código	Comarca nombre	VAB	Sector VAB código	Sector VAB descripción	Subsección código	Subsección descripción
2007	11	Bajo Cinca / Baix Cinca	129621,7	10	Agricultura	AA,BB	Agricultura, ganadería, caza, selvicultura y pesca
2007	11	Bajo Cinca / Baix Cinca	1303,5	21	Energía	CA,CB,DF	Extractivas y del petróleo
2007	11	Bajo Cinca / Baix Cinca	18035,4	21	Energía	EE	Producción y distribución de energía eléctrica, gas y agua
2007	11	Bajo Cinca / Baix Cinca	26013,8	22	Industria	DA	Industria de la alimentación, bebidas y tabaco
2007	11	Bajo Cinca / Baix Cinca	3617,5	22	Industria	DB,DC	Industria textil, cuero y calzado
2007	11	Bajo Cinca / Baix Cinca	2771,2	22	Industria	DD	Industria de la madera y del corcho
2007	11	Bajo Cinca / Baix Cinca	2328,8	22	Industria	DE	Industria del papel; edición, artes gráficas y reproducción de soportes grabados
2007	11	Bajo Cinca / Baix Cinca	28400,1	22	Industria	DG	Industria química
2007	11	Bajo Cinca / Baix Cinca	846,9	22	Industria	DH	Industria de la transformación del caucho y materias plásticas
2007	11	Bajo Cinca / Baix Cinca	7421,2	22	Industria	DI	Industrias de otros productos minerales no metálicos
2007	11	Bajo Cinca / Baix Cinca	10489	22	Industria	DJ	Metalurgia y fabricación de productos metálicos
2007	11	Bajo Cinca / Baix Cinca	5466,9	22	Industria	DK	Industria de la construcción de maquinaria y equipo mecánico
2007	11	Bajo Cinca / Baix Cinca	75720,1	22	Industria	DL	Industria de material y equipo eléctrico, electrónico y óptico
2007	11	Bajo Cinca / Baix Cinca	659,9	22	Industria	DM	Fabricación de material de transporte
2007	11	Bajo Cinca / Baix Cinca	1715	22	Industria	DN	Industrias manufactureras diversas
2007	11	Bajo Cinca / Baix Cinca	58092,9	30	Construcción	FF	Construcción
2007	11	Bajo Cinca / Baix Cinca	64720,3	40	Servicios	GG	Comercio, reparación de vehículos de motor, motocicletas y ciclomotores y artículos personales y de uso doméstico
2007	11	Bajo Cinca / Baix Cinca	33599,1	40	Servicios	HH	Hostelería
2007	11	Bajo Cinca / Baix Cinca	19769	40	Servicios	II	Transporte, almacenamiento y comunicaciones
2007	11	Bajo Cinca / Baix Cinca	9284,3	40	Servicios	JJ	Intermediación financiera
2007	11	Bajo Cinca / Baix Cinca	31396,1	40	Servicios	KK	Actividades inmobiliarias y de alquiler; servicios empresariales
2007	11	Bajo Cinca / Baix Cinca	16679,3	40	Servicios	LL	Administración pública, defensa y seguridad social
2007	11	Bajo Cinca / Baix Cinca	5983,5	40	Servicios	MM	Educación
2007	11	Bajo Cinca / Baix Cinca	6407	40	Servicios	NN	Actividades sanitarias y veterinarias; servicios sociales
2007	11	Bajo Cinca / Baix Cinca	11519,6	40	Servicios	OO	Otras actividades sociales y de servicios prestados a la comunidad; servicios personales
2007	11	Bajo Cinca / Baix Cinca	616,8	40	Servicios	PP	Hogares que emplean personal doméstico
2007	12	Tarazona y el Moncayo	7366,9	10	Agricultura	AA,BB	Agricultura, ganadería, caza, selvicultura y pesca
