Comarca código	Comarca nombre	Año	Sistema de cultivo	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Eriales	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos	Total (A+B+C+D)
15	Ribera Alta del Ebro	2015	Secano	10285	5686	4541	58	7508	0	3082	2374	2138	236	0	6041	4426	0	1758	2298	1985	26208
16	Valdejalón	2015	Regadío	15426	5659	978	8789	0	0	0	59	59	0	0	0	0	0	0	0	0	15485
16	Valdejalón	2015	Secano	35116	15196	14358	5562	29665	0	9369	6321	5089	1232	0	6744	20296	0	1826	3904	1014	77846
17	Central	2015	Regadío	27414	24531	1216	1667	0	0	0	89	89	0	0	0	0	0	0	0	0	27503
17	Central	2015	Secano	56368	30890	25020	458	96505	0	39420	18422	15527	2895	0	26947	57085	0	9306	15438	2203	198242
18	Ribera Baja del Ebro	2015	Regadío	14460	11799	612	2049	0	0	0	4	4	0	0	0	0	0	0	0	0	14464
18	Ribera Baja del Ebro	2015	Secano	40927	20273	20527	127	32199	0	11216	5158	2291	2867	0	6242	20983	0	1089	2986	2167	84526
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	Regadío	12164	4477	833	6854	0	0	0	2	2	0	0	0	0	0	0	0	0	12166
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	Secano	22697	7141	6774	8782	33591	0	8979	22530	12848	9682	0	8736	24612	0	521	2644	5571	87554
20	Comunidad de Calatayud	2015	Regadío	7936	3317	630	3989	0	0	0	71	71	0	0	0	0	0	0	0	0	8007
20	Comunidad de Calatayud	2015	Secano	61476	29671	17435	14370	103517	0	47269	67171	36999	14446	15726	11737	56248	0	1350	6210	4177	243901
21	Campo de Cariñena	2015	Regadío	7742	1953	425	5364	0	0	0	11	11	0	0	0	0	0	0	0	0	7753
21	Campo de Cariñena	2015	Secano	36645	13548	12281	10816	17436	0	9688	11307	10639	668	0	4054	7748	0	726	2480	848	69442
22	Campo de Belchite	2015	Regadío	4112	1418	712	1982	0	0	0	11	11	0	0	0	0	0	0	0	0	4123
22	Campo de Belchite	2015	Secano	61682	31720	28105	1857	29666	0	9591	5544	4805	739	0	3357	20075	0	452	2090	815	100249
23	Bajo Martín	2015	Regadío	4631	2400	1376	855	0	0	0	6	6	0	0	0	0	0	0	0	0	4637
23	Bajo Martín	2015	Secano	45499	21355	20866	3278	19742	0	5424	6886	6541	345	0	2756	14318	0	634	1674	448	74883
24	Campo de Daroca	2015	Regadío	1621	1439	117	65	0	0	0	29	29	0	0	0	0	0	0	0	0	1650
24	Campo de Daroca	2015	Secano	56342	42694	10829	2819	9738	0	2412	38696	18754	6989	12953	5395	7326	0	413	2883	2099	110171
25	Jiloca	2015	Regadío	6299	5111	1164	24	0	0	0	31	31	0	0	0	0	0	0	0	0	6330
25	Jiloca	2015	Secano	94028	60996	31954	1078	19778	0	6996	63777	19151	16071	28555	8087	12782	0	1491	5418	1178	185670
26	Cuencas Mineras	2015	Regadío	1083	486	586	11	0	0	0	2	2	0	0	0	0	0	0	0	0	1085
26	Cuencas Mineras	2015	Secano	33965	15957	17136	872	61206	0	48222	40545	22707	7431	10407	3966	12984	0	678	2310	978	139682
27	Andorra-Sierra de Arcos	2015	Regadío	458	200	172	86	0	0	0	35	35	0	0	0	0	0	0	0	0	493
27	Andorra-Sierra de Arcos	2015	Secano	16879	6542	7686	2651	27824	0	16414	17953	13358	4595	0	4361	11410	0	2075	1890	396	67017
28	Bajo Aragón	2015	Regadío	9521	5188	734	3599	0	0	0	49	49	0	0	0	0	0	0	0	0	9570
28	Bajo Aragón	2015	Secano	49396	13238	19271	16887	40940	0	20092	24364	15454	8892	18	6150	20848	0	1690	3063	1397	120850
29	Comunidad de Teruel	2015	Regadío	8518	6141	2339	38	0	0	0	88	88	0	0	0	0	0	0	0	0	8606
29	Comunidad de Teruel	2015	Secano	96535	55378	40671	486	91720	106	39630	69784	23232	29772	16780	12555	51984	0	1977	7371	3207	270594
30	Maestrazgo	2015	Regadío	603	267	222	114	0	0	0	1	1	0	0	0	0	0	0	0	0	604
30	Maestrazgo	2015	Secano	9534	4834	3914	786	69329	1738	44253	36600	25392	11208	0	4363	23338	0	472	2500	1391	119826
