Comarca código	Comarca nombre	Continente	Area nacionalidad, código	Area nacionalidad	Nivel estudios (agregado)	Grado de formación
15	Ribera Alta del Ebro	Europa	02	Resto de Europa	Analfabetos	9
15	Ribera Alta del Ebro	Europa	02	Resto de Europa	Sin estudios	15
15	Ribera Alta del Ebro	Europa	02	Resto de Europa	Primer grado	48
15	Ribera Alta del Ebro	Europa	02	Resto de Europa	Segundo grado	112
15	Ribera Alta del Ebro	Europa	02	Resto de Europa	Tercer grado	11
15	Ribera Alta del Ebro	África	03	Magreb	Analfabetos	19
15	Ribera Alta del Ebro	África	03	Magreb	Sin estudios	26
15	Ribera Alta del Ebro	África	03	Magreb	Primer grado	37
15	Ribera Alta del Ebro	África	03	Magreb	Segundo grado	52
15	Ribera Alta del Ebro	África	03	Magreb	Tercer grado	19
15	Ribera Alta del Ebro	África	04	Resto de África	Segundo grado	4
15	Ribera Alta del Ebro	África	04	Resto de África	Tercer grado	1
15	Ribera Alta del Ebro	América	05	América del Norte	Tercer grado	2
15	Ribera Alta del Ebro	América	06	Resto de América	Analfabetos	7
15	Ribera Alta del Ebro	América	06	Resto de América	Sin estudios	5
15	Ribera Alta del Ebro	América	06	Resto de América	Primer grado	14
15	Ribera Alta del Ebro	América	06	Resto de América	Segundo grado	59
15	Ribera Alta del Ebro	América	06	Resto de América	Tercer grado	12
15	Ribera Alta del Ebro	Asia	07	Asia	Primer grado	3
15	Ribera Alta del Ebro	Asia	07	Asia	Segundo grado	5
15	Ribera Alta del Ebro	Asia	07	Asia	Tercer grado	1
16	Valdejalón	Europa	01	UE-15	Analfabetos	2
16	Valdejalón	Europa	01	UE-15	Sin estudios	8
16	Valdejalón	Europa	01	UE-15	Primer grado	16
16	Valdejalón	Europa	01	UE-15	Segundo grado	18
16	Valdejalón	Europa	01	UE-15	Tercer grado	3
16	Valdejalón	Europa	02	Resto de Europa	Analfabetos	26
16	Valdejalón	Europa	02	Resto de Europa	Sin estudios	97
16	Valdejalón	Europa	02	Resto de Europa	Primer grado	117
16	Valdejalón	Europa	02	Resto de Europa	Segundo grado	295
16	Valdejalón	Europa	02	Resto de Europa	Tercer grado	28
16	Valdejalón	África	03	Magreb	Analfabetos	61
16	Valdejalón	África	03	Magreb	Sin estudios	67
16	Valdejalón	África	03	Magreb	Primer grado	98
16	Valdejalón	África	03	Magreb	Segundo grado	187
16	Valdejalón	África	03	Magreb	Tercer grado	13
16	Valdejalón	África	04	Resto de África	Analfabetos	3
16	Valdejalón	África	04	Resto de África	Sin estudios	2
16	Valdejalón	África	04	Resto de África	Primer grado	5
16	Valdejalón	África	04	Resto de África	Segundo grado	14
16	Valdejalón	África	04	Resto de África	Tercer grado	1
16	Valdejalón	América	05	América del Norte	Analfabetos	2
16	Valdejalón	América	05	América del Norte	Segundo grado	1
16	Valdejalón	América	06	Resto de América	Analfabetos	13
16	Valdejalón	América	06	Resto de América	Sin estudios	15
16	Valdejalón	América	06	Resto de América	Primer grado	32
16	Valdejalón	América	06	Resto de América	Segundo grado	60
16	Valdejalón	América	06	Resto de América	Tercer grado	6
16	Valdejalón	Asia	07	Asia	Segundo grado	2
