Municipio codigo	Municipio nombre	Tipo de edificio	Tipo de edificio, código	Nº edificios
44155	Montalbán	Destinado principal o exclusivamente a viviendas	1	691
44156	Monteagudo del Castillo	Destinado principal o exclusivamente a viviendas	1	106
44157	Monterde de Albarracín	Destinado principal o exclusivamente a viviendas	1	154
44158	Mora de Rubielos	Destinado principal o exclusivamente a viviendas	1	1097
44159	Moscardón	Destinado principal o exclusivamente a viviendas	1	89
44160	Mosqueruela	Destinado principal o exclusivamente a viviendas	1	521
44161	Muniesa	Destinado principal o exclusivamente a viviendas	1	553
44163	Noguera de Albarracín	Destinado principal o exclusivamente a viviendas	1	152
44164	Nogueras	Destinado principal o exclusivamente a viviendas	1	87
44165	Nogueruelas	Destinado principal o exclusivamente a viviendas	1	280
44167	Obón	Destinado principal o exclusivamente a viviendas	1	252
44168	Odón	Destinado principal o exclusivamente a viviendas	1	221
44169	Ojos Negros	Destinado principal o exclusivamente a viviendas	1	516
44171	Olba	Destinado principal o exclusivamente a viviendas	1	466
44172	Oliete	Destinado principal o exclusivamente a viviendas	1	627
44173	Olmos (Los)	Destinado principal o exclusivamente a viviendas	1	144
44174	Orihuela del Tremedal	Destinado principal o exclusivamente a viviendas	1	447
44175	Orrios	Destinado principal o exclusivamente a viviendas	1	125
44176	Palomar de Arroyos	Destinado principal o exclusivamente a viviendas	1	186
44177	Pancrudo	Destinado principal o exclusivamente a viviendas	1	195
44178	Parras de Castellote (Las)	Destinado principal o exclusivamente a viviendas	1	197
44179	Peñarroya de Tastavins	Destinado principal o exclusivamente a viviendas	1	352
44180	Peracense	Destinado principal o exclusivamente a viviendas	1	118
44181	Peralejos	Destinado principal o exclusivamente a viviendas	1	75
44182	Perales del Alfambra	Destinado principal o exclusivamente a viviendas	1	211
44183	Pitarque	Destinado principal o exclusivamente a viviendas	1	143
44184	Plou	Destinado principal o exclusivamente a viviendas	1	90
44185	Pobo (El)	Destinado principal o exclusivamente a viviendas	1	171
44187	Portellada (La)	Destinado principal o exclusivamente a viviendas	1	214
44189	Pozondón	Destinado principal o exclusivamente a viviendas	1	137
44190	Pozuel del Campo	Destinado principal o exclusivamente a viviendas	1	165
44191	Puebla de Híjar (La)	Destinado principal o exclusivamente a viviendas	1	723
44192	Puebla de Valverde (La)	Destinado principal o exclusivamente a viviendas	1	445
44193	Puertomingalvo	Destinado principal o exclusivamente a viviendas	1	156
44194	Ráfales	Destinado principal o exclusivamente a viviendas	1	191
44195	Rillo	Destinado principal o exclusivamente a viviendas	1	114
44196	Riodeva	Destinado principal o exclusivamente a viviendas	1	210
44197	Ródenas	Destinado principal o exclusivamente a viviendas	1	127
44198	Royuela	Destinado principal o exclusivamente a viviendas	1	169
44199	Rubiales	Destinado principal o exclusivamente a viviendas	1	68
44200	Rubielos de la Cérida	Destinado principal o exclusivamente a viviendas	1	73
44201	Rubielos de Mora	Destinado principal o exclusivamente a viviendas	1	654
44203	Salcedillo	Destinado principal o exclusivamente a viviendas	1	34
44204	Saldón	Destinado principal o exclusivamente a viviendas	1	93
44205	Samper de Calanda	Destinado principal o exclusivamente a viviendas	1	708
44206	San Agustín	Destinado principal o exclusivamente a viviendas	1	328
44207	San Martín del Río	Destinado principal o exclusivamente a viviendas	1	303
44208	Santa Cruz de Nogueras	Destinado principal o exclusivamente a viviendas	1	57
44209	Santa Eulalia	Destinado principal o exclusivamente a viviendas	1	774
44210	Sarrión	Destinado principal o exclusivamente a viviendas	1	908
44211	Segura de los Baños	Destinado principal o exclusivamente a viviendas	1	97
44212	Seno	Destinado principal o exclusivamente a viviendas	1	83
44213	Singra	Destinado principal o exclusivamente a viviendas	1	97
44215	Terriente	Destinado principal o exclusivamente a viviendas	1	208
