Año	Comarca código	Comarca nombre	Rama código	Rama descripción	VAB
2009	26	Cuencas Mineras	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	22614,8
2009	26	Cuencas Mineras	J	Información y comunicaciones	213,6
2009	26	Cuencas Mineras	K	Actividades financieras y de seguros	1210,5
2009	26	Cuencas Mineras	L	Actividades inmobiliarias	3929,9
2009	26	Cuencas Mineras	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	9083,2
2009	26	Cuencas Mineras	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	18252,3
2009	26	Cuencas Mineras	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	3837
2009	27	Andorra-Sierra de Arcos	A	Agricultura, ganadería, silvicultura y pesca	3780,6
2009	27	Andorra-Sierra de Arcos	B+E	Extractivas; Energía y Agua	151637,5
2009	27	Andorra-Sierra de Arcos	C	Industria manufacturera	14756,6
2009	27	Andorra-Sierra de Arcos	F	Construcción	52103,4
2009	27	Andorra-Sierra de Arcos	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	49780
2009	27	Andorra-Sierra de Arcos	J	Información y comunicaciones	306
2009	27	Andorra-Sierra de Arcos	K	Actividades financieras y de seguros	1481,3
2009	27	Andorra-Sierra de Arcos	L	Actividades inmobiliarias	5122,7
2009	27	Andorra-Sierra de Arcos	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	11648,5
2009	27	Andorra-Sierra de Arcos	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	19805,4
2009	27	Andorra-Sierra de Arcos	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	7344,1
2009	28	Bajo Aragón	A	Agricultura, ganadería, silvicultura y pesca	21257,3
2009	28	Bajo Aragón	B+E	Extractivas; Energía y Agua	28904,4
2009	28	Bajo Aragón	C	Industria manufacturera	55994,6
2009	28	Bajo Aragón	F	Construcción	144323,8
2009	28	Bajo Aragón	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	154496,1
2009	28	Bajo Aragón	J	Información y comunicaciones	4229,5
2009	28	Bajo Aragón	K	Actividades financieras y de seguros	8229,2
2009	28	Bajo Aragón	L	Actividades inmobiliarias	15690,7
2009	28	Bajo Aragón	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	34826,5
2009	28	Bajo Aragón	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	105299
2009	28	Bajo Aragón	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	33488,2
2009	29	Comunidad de Teruel	A	Agricultura, ganadería, silvicultura y pesca	18996,3
2009	29	Comunidad de Teruel	B+E	Extractivas; Energía y Agua	56009,5
2009	29	Comunidad de Teruel	C	Industria manufacturera	109243,5
2009	29	Comunidad de Teruel	F	Construcción	194519,2
2009	29	Comunidad de Teruel	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	255481,4
2009	29	Comunidad de Teruel	J	Información y comunicaciones	11223,6
2009	29	Comunidad de Teruel	K	Actividades financieras y de seguros	72957,1
2009	29	Comunidad de Teruel	L	Actividades inmobiliarias	57035,7
2009	29	Comunidad de Teruel	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	125805,7
2009	29	Comunidad de Teruel	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	412580,3
2009	29	Comunidad de Teruel	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	70607,5
2009	30	Maestrazgo	A	Agricultura, ganadería, silvicultura y pesca	8153,5
2009	30	Maestrazgo	B+E	Extractivas; Energía y Agua	4172,6
2009	30	Maestrazgo	C	Industria manufacturera	1534,7
2009	30	Maestrazgo	F	Construcción	15740,7
2009	30	Maestrazgo	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	12546,3
2009	30	Maestrazgo	J	Información y comunicaciones	42,2
2009	30	Maestrazgo	K	Actividades financieras y de seguros	465,1
2009	30	Maestrazgo	L	Actividades inmobiliarias	667,4
2009	30	Maestrazgo	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	1557,3
2009	30	Maestrazgo	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	9339
2009	30	Maestrazgo	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	2232,1
