Municipio codigo	Municipio nombre	Grandes grupos, código	Grandes grupos	Sexo, código	Sexo	Total	Españoles	Extranjeros
22047	Banastás	4	De 65 y más	1	Hombre	21	21	0
22048	Barbastro	0	Menor de 16	1	Hombre	1458,8575010865	1400,0162468205	58,841254266
22048	Barbastro	1	De 16 a 25	1	Hombre	818,0637463149	605,5449530679	212,518793247
22048	Barbastro	2	De 26 a 45	1	Hombre	2475,0659759394	1885,1647784274	589,901197512
22048	Barbastro	3	De 46 a 64	1	Hombre	2342,8331642932	2107,4307439112	235,402420382
22048	Barbastro	4	De 65 y más	1	Hombre	1061,6054051291	1061,6054051291	0
22048	Barbastro	5	De 65 y más	1	Hombre	193,510175939	193,510175939	0
22049	Barbués	0	Menor de 16	1	Hombre	7,6408822345	7,6408822345	0
22049	Barbués	1	De 16 a 25	1	Hombre	10,0610555465	10,0610555465	0
22049	Barbués	2	De 26 a 45	1	Hombre	11,6413648986	11,6413648986	0
22049	Barbués	3	De 46 a 64	1	Hombre	14,7116654268	14,7116654268	0
22049	Barbués	4	De 65 y más	1	Hombre	9,4286334955	9,4286334955	0
22049	Barbués	5	De 65 y más	1	Hombre	1,1799613032	1,1799613032	0
22050	Barbuñales	0	Menor de 16	1	Hombre	1,343916886	1,343916886	0
22050	Barbuñales	1	De 16 a 25	1	Hombre	3,5849016702	3,5849016702	0
22050	Barbuñales	2	De 26 a 45	1	Hombre	19,3154775334	19,3154775334	0
22050	Barbuñales	3	De 46 a 64	1	Hombre	8,1344245756	8,1344245756	0
22050	Barbuñales	4	De 65 y más	1	Hombre	14,3060950544	14,3060950544	0
22050	Barbuñales	5	De 65 y más	1	Hombre	5,627874145	5,627874145	0
22051	Bárcabo	0	Menor de 16	1	Hombre	0,7853109938	0,7853109938	0
22051	Bárcabo	2	De 26 a 45	1	Hombre	18,1652812322	18,1652812322	0
22051	Bárcabo	3	De 46 a 64	1	Hombre	26,1269667996	23,76231964	2,3646471596
22051	Bárcabo	4	De 65 y más	1	Hombre	22,9799207692	22,9799207692	0
22051	Bárcabo	5	De 65 y más	1	Hombre	1,2063405796	1,2063405796	0
22052	Belver de Cinca	0	Menor de 16	1	Hombre	94,7977252683	69,0213025457	25,7764227226
22052	Belver de Cinca	1	De 16 a 25	1	Hombre	81,3635001995	56,2108015405	25,152698659
22052	Belver de Cinca	2	De 26 a 45	1	Hombre	197,316966172	138,654870627	58,662095545
22052	Belver de Cinca	3	De 46 a 64	1	Hombre	169,6828464365	159,5398879675	10,142958469
22052	Belver de Cinca	4	De 65 y más	1	Hombre	160,1266967572	160,1266967572	0
22052	Belver de Cinca	5	De 65 y más	1	Hombre	35,8733032426	35,8733032426	0
22053	Benabarre	0	Menor de 16	1	Hombre	86,839970272	78,0500438745	8,7899263975
22053	Benabarre	1	De 16 a 25	1	Hombre	64,1759055205	27,4139324355	36,761973085
22053	Benabarre	2	De 26 a 45	1	Hombre	149,9461643053	118,6093344114	31,3368298939
22053	Benabarre	3	De 46 a 64	1	Hombre	181,8719656648	153,7291451158	28,142820549
22053	Benabarre	4	De 65 y más	1	Hombre	93,8288086222	93,8288086222	0
22053	Benabarre	5	De 65 y más	1	Hombre	20,2869543782	20,2869543782	0
22054	Benasque	0	Menor de 16	1	Hombre	130,8454644304	120,9279631317	9,9175012987
22054	Benasque	1	De 16 a 25	1	Hombre	136,8140454612	118,8674809965	17,9465644647
22054	Benasque	2	De 26 a 45	1	Hombre	476,7252434089	436,1121722472	40,6130711617
22054	Benasque	3	De 46 a 64	1	Hombre	279,5512537947	265,4208833027	14,130370492
22054	Benasque	4	De 65 y más	1	Hombre	97,3990539106	97,3990539106	0
22054	Benasque	5	De 65 y más	1	Hombre	10,3081299444	10,3081299444	0
22055	Berbegal	0	Menor de 16	1	Hombre	15,1721672265	15,1721672265	0
22055	Berbegal	1	De 16 a 25	1	Hombre	12,5697182999	12,5697182999	0
22055	Berbegal	2	De 26 a 45	1	Hombre	55,4691704606	49,6882573739	5,7809130867
22055	Berbegal	3	De 46 a 64	1	Hombre	71,2452783593	61,5157878707	9,7294904886
22055	Berbegal	4	De 65 y más	1	Hombre	35,2977689102	35,2977689102	0
22055	Berbegal	5	De 65 y más	1	Hombre	19,7022310896	19,7022310896	0
22057	Bielsa	0	Menor de 16	1	Hombre	26,2903541627	26,2903541627	0
22057	Bielsa	1	De 16 a 25	1	Hombre	33,1161646637	23,9203503533	9,1958143104
22057	Bielsa	2	De 26 a 45	1	Hombre	80,5993773349	80,5993773349	0
22057	Bielsa	3	De 46 a 64	1	Hombre	62,9252019185	62,9252019185	0
22057	Bielsa	4	De 65 y más	1	Hombre	42,3939602282	42,3939602282	0
22057	Bielsa	5	De 65 y más	1	Hombre	5,231419501	5,231419501	0
22058	Bierge	0	Menor de 16	1	Hombre	9	4,2267260106	4,7732739894
22058	Bierge	1	De 16 a 25	1	Hombre	18,3854423176	18,3854423176	0
22058	Bierge	2	De 26 a 45	1	Hombre	34,4570183786	32,4632704748	1,9937479038
22058	Bierge	3	De 46 a 64	1	Hombre	40,6030189674	40,6030189674	0
22058	Bierge	4	De 65 y más	1	Hombre	29,3566630699	27,8725666057	1,4840964642
22058	Bierge	5	De 65 y más	1	Hombre	6,6433369304	6,6433369304	0
22059	Biescas	0	Menor de 16	1	Hombre	105,8624026706	94,0369352116	11,825467459
22059	Biescas	1	De 16 a 25	1	Hombre	59,4744785182	55,1538715263	4,3206069919
22059	Biescas	2	De 26 a 45	1	Hombre	188,2728311741	156,1058245551	32,167006619
22059	Biescas	3	De 46 a 64	1	Hombre	327,2827497514	271,319723998	55,9630257534
22059	Biescas	4	De 65 y más	1	Hombre	138,254778872	138,254778872	0
22060	Binaced	0	Menor de 16	1	Hombre	95,5153682917	89,7995287547	5,715839537
22060	Binaced	1	De 16 a 25	1	Hombre	128,3195724508	65,2255583808	63,09401407
22060	Binaced	2	De 26 a 45	1	Hombre	205,2237083585	151,5006304042	53,7230779543
22060	Binaced	3	De 46 a 64	1	Hombre	200,3581289989	187,5852233799	12,772905619
22060	Binaced	4	De 65 y más	1	Hombre	139,2475257568	133,5316862198	5,715839537
22060	Binaced	5	De 65 y más	1	Hombre	27,752474243	27,752474243	0
22061	Binéfar	0	Menor de 16	1	Hombre	886,8908959181	530,6526644031	356,238231515
22061	Binéfar	1	De 16 a 25	1	Hombre	482,0482802587	389,4535048227	92,594775436
22061	Binéfar	2	De 26 a 45	1	Hombre	1545,5361852014	1132,0540825707	413,4821026307
22061	Binéfar	3	De 46 a 64	1	Hombre	1202,8233554626	1090,1352963719	112,6880590907
22061	Binéfar	4	De 65 y más	1	Hombre	737,5375408003	737,5375408003	0
22061	Binéfar	5	De 65 y más	1	Hombre	74,9393874281	74,9393874281	0
22062	Bisaurri	1	De 16 a 25	1	Hombre	4,5809305355	4,5809305355	0
22062	Bisaurri	2	De 26 a 45	1	Hombre	62,1646335722	62,1646335722	0
22062	Bisaurri	3	De 46 a 64	1	Hombre	15,2544358928	15,2544358928	0
22062	Bisaurri	4	De 65 y más	1	Hombre	23	23	0
22063	Biscarrués	0	Menor de 16	1	Hombre	9,0000000002	9,0000000002	0
22063	Biscarrués	1	De 16 a 25	1	Hombre	4,6252663126	4,6252663126	0
22063	Biscarrués	2	De 26 a 45	1	Hombre	37,2533700823	35,5075513898	1,7458186925
22063	Biscarrués	3	De 46 a 64	1	Hombre	31,9605362694	31,9605362694	0
22063	Biscarrués	4	De 65 y más	1	Hombre	34,1454047997	34,1454047997	0
22063	Biscarrués	5	De 65 y más	1	Hombre	3,8545952002	3,8545952002	0
22064	Blecua y Torres	0	Menor de 16	1	Hombre	9,5240402424	7,0801096042	2,4439306382
22064	Blecua y Torres	1	De 16 a 25	1	Hombre	5,4106074675	5,4106074675	0
