Mes y año	Mes (código)	Mes nombre	Año	Provincia código	Provincia nombre	Sector código	Sector descripción	Sexo	Temporalidad	Días duración contrato	Número de contratos	Duración contrato	Duración media contrato
Octubre 2017	201710	Octubre	2017	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	208	0	0
Octubre 2017	201710	Octubre	2017	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	Temporal	1	177	5803	32,78531073446327683615819209039548022599
Octubre 2017	201710	Octubre	2017	50	Zaragoza	2	Industria y energía	Hombres	Temporal	0	1305	0	0
Octubre 2017	201710	Octubre	2017	50	Zaragoza	2	Industria y energía	Hombres	Temporal	1	4722	201304	42,63108852181279119017365523083439220669
Octubre 2017	201710	Octubre	2017	50	Zaragoza	2	Industria y energía	Mujeres	Temporal	0	779	0	0
Octubre 2017	201710	Octubre	2017	50	Zaragoza	2	Industria y energía	Mujeres	Temporal	1	2785	83118	29,84488330341113105924596050269299820467
Octubre 2017	201710	Octubre	2017	50	Zaragoza	3	Construcción	Hombres	Temporal	0	891	0	0
Octubre 2017	201710	Octubre	2017	50	Zaragoza	3	Construcción	Hombres	Temporal	1	265	22181	83,70188679245283018867924528301886792453
Octubre 2017	201710	Octubre	2017	50	Zaragoza	3	Construcción	Mujeres	Temporal	0	20	0	0
Octubre 2017	201710	Octubre	2017	50	Zaragoza	3	Construcción	Mujeres	Temporal	1	50	6624	132,48
Octubre 2017	201710	Octubre	2017	50	Zaragoza	4	Servicios	Hombres	Temporal	0	3814	0	0
Octubre 2017	201710	Octubre	2017	50	Zaragoza	4	Servicios	Hombres	Temporal	1	9710	425483	43,81905252317198764160659114315139031926
Octubre 2017	201710	Octubre	2017	50	Zaragoza	4	Servicios	Mujeres	Temporal	0	5369	0	0
Octubre 2017	201710	Octubre	2017	50	Zaragoza	4	Servicios	Mujeres	Temporal	1	10394	508142	48,88801231479699826823167211852992110833
Septiembre 2017	201709	Septiembre	2017	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	636	0	0
Septiembre 2017	201709	Septiembre	2017	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	Temporal	1	274	10477	38,23722627737226277372262773722627737226
Septiembre 2017	201709	Septiembre	2017	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	93	0	0
Septiembre 2017	201709	Septiembre	2017	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	Temporal	1	83	2713	32,68674698795180722891566265060240963855
Septiembre 2017	201709	Septiembre	2017	22	Huesca	2	Industria y energía	Hombres	Temporal	0	199	0	0
Septiembre 2017	201709	Septiembre	2017	22	Huesca	2	Industria y energía	Hombres	Temporal	1	201	27723	137,925373134328358208955223880597014925
Septiembre 2017	201709	Septiembre	2017	22	Huesca	2	Industria y energía	Mujeres	Temporal	0	110	0	0
Septiembre 2017	201709	Septiembre	2017	22	Huesca	2	Industria y energía	Mujeres	Temporal	1	65	6630	102
Septiembre 2017	201709	Septiembre	2017	22	Huesca	3	Construcción	Hombres	Temporal	0	244	0	0
Septiembre 2017	201709	Septiembre	2017	22	Huesca	3	Construcción	Hombres	Temporal	1	84	11431	136,083333333333333333333333333333333333
Septiembre 2017	201709	Septiembre	2017	22	Huesca	3	Construcción	Mujeres	Temporal	0	6	0	0
Septiembre 2017	201709	Septiembre	2017	22	Huesca	3	Construcción	Mujeres	Temporal	1	9	1651	183,444444444444444444444444444444444444
Septiembre 2017	201709	Septiembre	2017	22	Huesca	4	Servicios	Hombres	Temporal	0	506	0	0
Septiembre 2017	201709	Septiembre	2017	22	Huesca	4	Servicios	Hombres	Temporal	1	1786	69731	39,04311310190369540873460246360582306831
