Municipio código	Municipio nombre	Explotaciones	Porcentaje de SAU en propiedad del titular
22053	Benabarre	6	d) >=25% a < 50%  de la SAU en propiedad
22053	Benabarre	12	e) >=50% a < 75%  de la SAU en propiedad
22053	Benabarre	8	f) >= 75% a < 90%  de la SAU en propiedad
22053	Benabarre	80	g) >= 90%  de la SAU en propiedad
22054	Benasque	17	b) < 10% de la SAU en propiedad
22054	Benasque	5	c) >=10% a < 25%  de la SAU en propiedad
22054	Benasque	1	d) >=25% a < 50%  de la SAU en propiedad
22054	Benasque	1	e) >=50% a < 75%  de la SAU en propiedad
22054	Benasque	16	g) >= 90%  de la SAU en propiedad
22055	Berbegal	1	a) No hay SAU
22055	Berbegal	16	b) < 10% de la SAU en propiedad
22055	Berbegal	4	c) >=10% a < 25%  de la SAU en propiedad
22055	Berbegal	8	d) >=25% a < 50%  de la SAU en propiedad
22055	Berbegal	7	e) >=50% a < 75%  de la SAU en propiedad
22055	Berbegal	3	f) >= 75% a < 90%  de la SAU en propiedad
22055	Berbegal	50	g) >= 90%  de la SAU en propiedad
22057	Bielsa	1	a) No hay SAU
22057	Bielsa	3	b) < 10% de la SAU en propiedad
22057	Bielsa	2	c) >=10% a < 25%  de la SAU en propiedad
22057	Bielsa	1	e) >=50% a < 75%  de la SAU en propiedad
22057	Bielsa	2	f) >= 75% a < 90%  de la SAU en propiedad
22057	Bielsa	16	g) >= 90%  de la SAU en propiedad
22058	Bierge	47	b) < 10% de la SAU en propiedad
22058	Bierge	7	c) >=10% a < 25%  de la SAU en propiedad
22058	Bierge	6	d) >=25% a < 50%  de la SAU en propiedad
22058	Bierge	4	e) >=50% a < 75%  de la SAU en propiedad
22058	Bierge	1	f) >= 75% a < 90%  de la SAU en propiedad
22058	Bierge	46	g) >= 90%  de la SAU en propiedad
22059	Biescas	3	a) No hay SAU
22059	Biescas	14	b) < 10% de la SAU en propiedad
22059	Biescas	6	c) >=10% a < 25%  de la SAU en propiedad
22059	Biescas	7	d) >=25% a < 50%  de la SAU en propiedad
22059	Biescas	4	e) >=50% a < 75%  de la SAU en propiedad
22059	Biescas	4	f) >= 75% a < 90%  de la SAU en propiedad
22059	Biescas	46	g) >= 90%  de la SAU en propiedad
22060	Binaced	10	a) No hay SAU
22060	Binaced	34	b) < 10% de la SAU en propiedad
22060	Binaced	17	c) >=10% a < 25%  de la SAU en propiedad
22060	Binaced	20	d) >=25% a < 50%  de la SAU en propiedad
22060	Binaced	24	e) >=50% a < 75%  de la SAU en propiedad
22060	Binaced	16	f) >= 75% a < 90%  de la SAU en propiedad
22060	Binaced	151	g) >= 90%  de la SAU en propiedad
22061	Binéfar	6	a) No hay SAU
22061	Binéfar	23	b) < 10% de la SAU en propiedad
22061	Binéfar	4	c) >=10% a < 25%  de la SAU en propiedad
