Mes y año	Codcom	Comarca nombre	Cuentas cotización con trabajadores
Marzo 2016	11	Bajo Cinca / Baix Cinca	1296
Marzo 2016	12	Tarazona y el Moncayo	521
Marzo 2016	13	Campo de Borja	574
Marzo 2016	14	Aranda	282
Marzo 2016	15	Ribera Alta del Ebro	930
Marzo 2016	16	Valdejalón	1282
Marzo 2016	17	Central	35312
Marzo 2016	18	Ribera Baja del Ebro	350
Marzo 2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp	656
Marzo 2016	20	Comunidad de Calatayud	1424
Marzo 2016	21	Campo de Cariñena	516
Marzo 2016	22	Campo de Belchite	197
Marzo 2016	23	Bajo Martín	295
Marzo 2016	24	Campo de Daroca	250
Marzo 2016	25	Jiloca	492
