Año	Sexo	Edad	Residencia CCAA código	Residencia CCAA nombre	Personas	Porcentaje
2001	Mujeres	85	02	Aragón	3231	0,0120169692548947
2002	Hombres	85	02	Aragón	-1675	-0,00622978133765047
2002	Mujeres	85	02	Aragón	3179	0,0118235670879945
2003	Hombres	85	02	Aragón	-1751	-0,00651244604311998
2003	Mujeres	85	02	Aragón	3204	0,0119165488990042
2004	Hombres	85	02	Aragón	-1807	-0,00672072529978173
2004	Mujeres	85	02	Aragón	3511	0,0130583655382035
2005	Hombres	85	02	Aragón	-1921	-0,007144722357986
2005	Mujeres	85	02	Aragón	3443	0,012805455012257
2006	Hombres	85	02	Aragón	-2318	-0,00862127351682017
2006	Mujeres	85	02	Aragón	4114	0,0153010868197576
2007	Hombres	85	02	Aragón	-2574	-0,00957340726155958
2007	Mujeres	85	02	Aragón	4130	0,0153605951788038
2008	Hombres	85	02	Aragón	-2586	-0,00961803853084424
2008	Mujeres	85	02	Aragón	4472	0,0166325863534166
2009	Hombres	85	02	Aragón	-2695	-0,0100234392268466
2009	Mujeres	85	02	Aragón	4498	0,0167292874368667
2010	Hombres	85	02	Aragón	-2797	-0,0104028050157662
2010	Mujeres	85	02	Aragón	4561	0,0169636016006112
2011	Hombres	85	02	Aragón	-2818	-0,0104809097370143
2011	Mujeres	85	02	Aragón	4404	0,0163796758274702
2012	Hombres	85	02	Aragón	-2786	-0,0103618930189219
2012	Mujeres	85	02	Aragón	4610	0,0171458459501902
2013	Hombres	85	02	Aragón	-2954	-0,0109867307889072
