Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones sin tierras	Explotaciones con tierras labranza, pastos y otras	Explotaciones con tierras labranza y pastos	Explotaciones con tierras labranza y otras	Explotaciones con sólo tierras labranza	Explotaciones con pastos y otras tierras	Explotaciones con sólo pastos	Explotaciones con sólo otras tierras	Explotaciones con tierras
1989	44082	Corbalán	34	0	3	0	17	11	0	0	3	34
1989	44084	Cortes de Aragón	22	0	0	0	2	17	1	0	2	22
1989	44085	Cosa	33	0	1	14	8	6	1	0	3	33
1989	44086	Cretas	266	0	2	1	162	86	0	0	15	266
1989	44087	Crivillén	103	0	0	29	3	27	2	18	24	103
1989	44088	Cuba (La)	25	0	2	4	14	0	0	0	5	25
1989	44089	Cubla	129	1	0	0	30	9	0	1	88	128
1989	44090	Cucalón	15	0	2	9	2	0	1	0	1	15
1989	44092	Cuervo (El)	56	0	0	0	41	2	1	0	12	56
1989	44093	Cuevas de Almudén	31	0	0	0	1	28	1	0	1	31
1989	44094	Cuevas Labradas	50	0	0	3	6	37	2	0	2	50
1989	44096	Ejulve	318	0	18	5	61	1	74	1	158	318
1989	44097	Escorihuela	74	1	0	0	22	45	4	0	2	73
1989	44099	Escucha	89	5	13	4	33	1	20	1	12	84
1989	44100	Estercuel	130	0	39	1	6	5	72	3	4	130
1989	44101	Ferreruela de Huerva	30	1	0	0	6	19	2	0	2	29
1989	44102	Fonfría	14	1	0	9	1	0	1	0	2	13
1989	44103	Formiche Alto	54	0	2	1	34	9	2	0	6	54
1989	44105	Fórnoles	221	0	0	0	128	2	0	0	91	221
1989	44106	Fortanete	102	2	31	25	0	3	29	2	10	100
1989	44107	Foz-Calanda	65	0	0	1	0	61	0	0	3	65
1989	44108	Fresneda (La)	310	0	1	1	176	37	0	0	95	310
1989	44109	Frías de Albarracín	37	0	0	0	1	27	1	0	8	37
1989	44110	Fuenferrada	30	0	1	8	12	7	0	0	2	30
1989	44111	Fuentes Calientes	44	0	2	0	38	3	0	0	1	44
1989	44112	Fuentes Claras	158	0	35	8	78	33	2	0	2	158
1989	44113	Fuentes de Rubielos	93	1	16	0	2	1	54	8	11	92
1989	44114	Fuentespalda	154	2	0	0	100	7	0	0	45	152
1989	44115	Galve	42	0	13	0	24	2	0	0	3	42
1989	44116	Gargallo	99	0	20	1	3	2	65	1	7	99
1989	44117	Gea de Albarracín	128	0	0	0	54	40	1	0	33	128
1989	44118	Ginebrosa (La)	164	1	2	2	64	59	0	0	36	163
1989	44119	Griegos	35	0	0	0	2	27	0	0	6	35
1989	44120	Guadalaviar	53	2	0	0	6	37	0	0	8	51
1989	44121	Gúdar	71	2	15	9	6	0	17	7	15	69
1989	44122	Híjar	373	16	1	3	26	311	1	2	13	357
1989	44123	Hinojosa de Jarque	52	0	1	3	11	36	1	0	0	52
1989	44124	Hoz de la Vieja (La)	90	1	0	0	21	23	1	0	44	89
1989	44125	Huesa del Común	54	0	0	0	27	12	2	1	12	54
1989	44126	Iglesuela del Cid (La)	131	0	21	75	5	7	1	6	16	131
1989	44127	Jabaloyas	35	2	0	0	27	0	1	1	4	33
1989	44128	Jarque de la Val	27	0	0	1	0	23	1	0	2	27
1989	44129	Jatiel	10	0	0	0	0	9	0	1	0	10
1989	44130	Jorcas	22	0	3	12	0	3	1	2	1	22
1989	44131	Josa	60	0	0	0	32	1	1	0	26	60
1989	44132	Lagueruela	27	1	0	4	17	1	3	0	1	26
1989	44133	Lanzuela	19	0	0	5	11	0	1	0	2	19
1989	44135	Libros	134	1	2	0	84	11	1	0	35	133
1989	44136	Lidón	25	1	0	4	1	17	2	0	0	24
1989	44137	Linares de Mora	125	0	46	4	23	6	10	0	36	125
1989	44138	Loscos	58	1	1	22	25	3	3	1	2	57
