Mes y año	'Aragón'	Sexo	Nº parados	Grupos 1 duración demanda código	Grupos 1 duración demanda descripción
Junio 2014	Aragón	Mujeres	5543	5	De 2 a 3 años
Junio 2014	Aragón	Mujeres	7986	6	Más de 3 años
Mayo 2014	Aragón	Hombres	13956	1	Hasta 3 meses
Mayo 2014	Aragón	Hombres	7303	2	De 3 a 6 meses
Mayo 2014	Aragón	Hombres	9257	3	De 6 a 12 meses
Mayo 2014	Aragón	Hombres	8223	4	De 1 a 2 años
Mayo 2014	Aragón	Hombres	4219	5	De 2 a 3 años
Mayo 2014	Aragón	Hombres	5582	6	Más de 3 años
Mayo 2014	Aragón	Mujeres	13436	1	Hasta 3 meses
Mayo 2014	Aragón	Mujeres	7359	2	De 3 a 6 meses
Mayo 2014	Aragón	Mujeres	9875	3	De 6 a 12 meses
Mayo 2014	Aragón	Mujeres	9313	4	De 1 a 2 años
Mayo 2014	Aragón	Mujeres	5555	5	De 2 a 3 años
Mayo 2014	Aragón	Mujeres	7864	6	Más de 3 años
Abril 2014	Aragón	Hombres	15242	1	Hasta 3 meses
Abril 2014	Aragón	Hombres	8365	2	De 3 a 6 meses
Abril 2014	Aragón	Hombres	9358	3	De 6 a 12 meses
Abril 2014	Aragón	Hombres	8540	4	De 1 a 2 años
Abril 2014	Aragón	Hombres	4259	5	De 2 a 3 años
Abril 2014	Aragón	Hombres	5537	6	Más de 3 años
Abril 2014	Aragón	Mujeres	13702	1	Hasta 3 meses
Abril 2014	Aragón	Mujeres	7863	2	De 3 a 6 meses
Abril 2014	Aragón	Mujeres	9808	3	De 6 a 12 meses
Abril 2014	Aragón	Mujeres	9472	4	De 1 a 2 años
Abril 2014	Aragón	Mujeres	5471	5	De 2 a 3 años
Abril 2014	Aragón	Mujeres	7757	6	Más de 3 años
Marzo 2014	Aragón	Hombres	17081	1	Hasta 3 meses
Marzo 2014	Aragón	Hombres	9039	2	De 3 a 6 meses
Marzo 2014	Aragón	Hombres	8533	3	De 6 a 12 meses
Marzo 2014	Aragón	Hombres	8695	4	De 1 a 2 años
Marzo 2014	Aragón	Hombres	4272	5	De 2 a 3 años
Marzo 2014	Aragón	Hombres	5413	6	Más de 3 años
Marzo 2014	Aragón	Mujeres	15803	1	Hasta 3 meses
Marzo 2014	Aragón	Mujeres	8185	2	De 3 a 6 meses
Marzo 2014	Aragón	Mujeres	9114	3	De 6 a 12 meses
Marzo 2014	Aragón	Mujeres	9527	4	De 1 a 2 años
Marzo 2014	Aragón	Mujeres	5501	5	De 2 a 3 años
Marzo 2014	Aragón	Mujeres	7699	6	Más de 3 años
Febrero 2014	Aragón	Hombres	17310	1	Hasta 3 meses
Febrero 2014	Aragón	Hombres	9970	2	De 3 a 6 meses
Febrero 2014	Aragón	Hombres	7941	3	De 6 a 12 meses
Febrero 2014	Aragón	Hombres	8854	4	De 1 a 2 años
Febrero 2014	Aragón	Hombres	4344	5	De 2 a 3 años
Febrero 2014	Aragón	Hombres	5300	6	Más de 3 años
Febrero 2014	Aragón	Mujeres	15485	1	Hasta 3 meses
Febrero 2014	Aragón	Mujeres	9634	2	De 3 a 6 meses
Febrero 2014	Aragón	Mujeres	8143	3	De 6 a 12 meses
Febrero 2014	Aragón	Mujeres	9733	4	De 1 a 2 años
Febrero 2014	Aragón	Mujeres	5494	5	De 2 a 3 años
Febrero 2014	Aragón	Mujeres	7566	6	Más de 3 años
Enero 2014	Aragón	Hombres	18981	1	Hasta 3 meses
Enero 2014	Aragón	Hombres	10033	2	De 3 a 6 meses
Enero 2014	Aragón	Hombres	8065	3	De 6 a 12 meses
Enero 2014	Aragón	Hombres	9425	4	De 1 a 2 años
Enero 2014	Aragón	Hombres	4476	5	De 2 a 3 años
Enero 2014	Aragón	Hombres	5346	6	Más de 3 años
Enero 2014	Aragón	Mujeres	16965	1	Hasta 3 meses
Enero 2014	Aragón	Mujeres	9646	2	De 3 a 6 meses
Enero 2014	Aragón	Mujeres	8448	3	De 6 a 12 meses
Enero 2014	Aragón	Mujeres	10254	4	De 1 a 2 años
Enero 2014	Aragón	Mujeres	5584	5	De 2 a 3 años
Enero 2014	Aragón	Mujeres	7596	6	Más de 3 años
Diciembre 2013	Aragón	Hombres	19611	1	Hasta 3 meses
Diciembre 2013	Aragón	Hombres	8766	2	De 3 a 6 meses
Diciembre 2013	Aragón	Hombres	7838	3	De 6 a 12 meses
Diciembre 2013	Aragón	Hombres	9374	4	De 1 a 2 años
Diciembre 2013	Aragón	Hombres	4384	5	De 2 a 3 años
Diciembre 2013	Aragón	Hombres	5233	6	Más de 3 años
Diciembre 2013	Aragón	Mujeres	15974	1	Hasta 3 meses
Diciembre 2013	Aragón	Mujeres	8333	2	De 3 a 6 meses
Diciembre 2013	Aragón	Mujeres	8240	3	De 6 a 12 meses
Diciembre 2013	Aragón	Mujeres	10199	4	De 1 a 2 años
Diciembre 2013	Aragón	Mujeres	5447	5	De 2 a 3 años
Diciembre 2013	Aragón	Mujeres	7433	6	Más de 3 años
Noviembre 2013	Aragón	Hombres	21291	1	Hasta 3 meses
Noviembre 2013	Aragón	Hombres	7422	2	De 3 a 6 meses
Noviembre 2013	Aragón	Hombres	7964	3	De 6 a 12 meses
Noviembre 2013	Aragón	Hombres	9552	4	De 1 a 2 años
