Fuente y fecha	Año	Municipio código	Municipio nombre	Total edificios	Antes de 1950	1950-1959	1960-1969	1970-1979	1980-1989	1990-1999	2000-2009	2010 y posterior	Sin definir
Catastro (diciembre de 2019                          )	2019	44039	Bello	577	420	5	20	25	50	12	35	8	2
Catastro (diciembre de 2019                          )	2019	44040	Berge	342	229	16	11	10	11	27	33	5	0
Catastro (diciembre de 2019                          )	2019	44041	Bezas	189	148	4	5	6	12	3	6	3	2
Catastro (diciembre de 2019                          )	2019	44042	Blancas	378	222	10	8	26	18	36	33	4	21
Catastro (diciembre de 2019                          )	2019	44043	Blesa	361	109	4	39	86	96	21	3	3	0
Catastro (diciembre de 2019                          )	2019	44044	Bordón	254	121	17	9	31	39	23	8	5	1
Catastro (diciembre de 2019                          )	2019	44045	Bronchales	1229	270	28	119	106	214	93	343	56	0
Catastro (diciembre de 2019                          )	2019	44046	Bueña	174	93	0	9	19	43	5	5	0	0
Catastro (diciembre de 2019                          )	2019	44047	Burbáguena	497	323	9	7	43	62	30	12	5	6
Catastro (diciembre de 2019                          )	2019	44048	Cabra de Mora	229	121	4	6	19	22	31	19	7	0
Catastro (diciembre de 2019                          )	2019	44049	Calaceite	1172	731	17	31	101	66	107	92	27	0
Catastro (diciembre de 2019                          )	2019	44050	Calamocha	5873	1038	160	465	1155	1111	598	1164	182	0
Catastro (diciembre de 2019                          )	2019	44051	Calanda	3291	1035	105	119	464	604	332	478	137	17
Catastro (diciembre de 2019                          )	2019	44052	Calomarde	235	140	2	1	19	32	8	25	8	0
Catastro (diciembre de 2019                          )	2019	44053	Camañas	182	62	6	18	29	46	9	9	3	0
Catastro (diciembre de 2019                          )	2019	44054	Camarena de la Sierra	595	277	8	10	22	56	28	179	15	0
Catastro (diciembre de 2019                          )	2019	44055	Camarillas	256	110	4	4	33	78	12	12	3	0
Catastro (diciembre de 2019                          )	2019	44056	Caminreal	774	422	39	54	70	81	33	47	13	15
Catastro (diciembre de 2019                          )	2019	44059	Cantavieja	997	317	11	48	134	98	43	144	202	0
Catastro (diciembre de 2019                          )	2019	44060	Cañada de Benatanduz	189	135	1	0	10	19	9	12	3	0
Catastro (diciembre de 2019                          )	2019	44061	Cañada de Verich (La)	171	74	29	13	19	18	11	4	3	0
Catastro (diciembre de 2019                          )	2019	44062	Cañada Vellida	69	25	0	6	20	15	2	1	0	0
Catastro (diciembre de 2019                          )	2019	44063	Cañizar del Olivar	285	89	13	18	56	57	21	24	7	0
Catastro (diciembre de 2019                          )	2019	44064	Cascante del Río	210	166	8	5	3	13	10	2	1	2
Catastro (diciembre de 2019                          )	2019	44065	Castejón de Tornos	201	149	2	2	6	11	7	13	8	3
Catastro (diciembre de 2019                          )	2019	44066	Castel de Cabra	286	213	2	6	7	31	13	13	1	0
Catastro (diciembre de 2019                          )	2019	44067	Castelnou	237	159	6	17	25	14	7	6	3	0
Catastro (diciembre de 2019                          )	2019	44068	Castelserás	831	33	2	0	8	25	47	103	20	593
