Comarca código	Comarca nombre	Calefacción (agregado)	Calefacción (detalle)	Combustible usado	Número hogares
21	Campo de Cariñena	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	7
21	Campo de Cariñena	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	5
21	Campo de Cariñena	Sin calefacción	Sin ningún medio	 No aplicable	423
22	Campo de Belchite	Con calefacción	Con calefacción colectiva	Gas	4
22	Campo de Belchite	Con calefacción	Con calefacción colectiva	Electricidad	6
22	Campo de Belchite	Con calefacción	Con calefacción colectiva	Derivados del petróleo	24
22	Campo de Belchite	Con calefacción	Con calefacción colectiva	Madera	3
22	Campo de Belchite	Con calefacción	Con calefacción colectiva	Derivados del carbón	2
22	Campo de Belchite	Con calefacción	Con calefacción individual	Gas	30
22	Campo de Belchite	Con calefacción	Con calefacción individual	Electricidad	60
22	Campo de Belchite	Con calefacción	Con calefacción individual	Derivados del petróleo	752
22	Campo de Belchite	Con calefacción	Con calefacción individual	Madera	61
22	Campo de Belchite	Con calefacción	Con calefacción individual	Derivados del carbón	8
22	Campo de Belchite	Con calefacción	Con calefacción individual	Otros	4
22	Campo de Belchite	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	206
22	Campo de Belchite	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	292
22	Campo de Belchite	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	57
22	Campo de Belchite	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	652
22	Campo de Belchite	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	6
22	Campo de Belchite	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	3
22	Campo de Belchite	Sin calefacción	Sin ningún medio	 No aplicable	178
23	Bajo Martín	Con calefacción	Con calefacción colectiva	Gas	9
23	Bajo Martín	Con calefacción	Con calefacción colectiva	Electricidad	2
23	Bajo Martín	Con calefacción	Con calefacción colectiva	Derivados del petróleo	84
23	Bajo Martín	Con calefacción	Con calefacción colectiva	Derivados del carbón	4
23	Bajo Martín	Con calefacción	Con calefacción colectiva	Otros	1
23	Bajo Martín	Con calefacción	Con calefacción individual	Gas	60
23	Bajo Martín	Con calefacción	Con calefacción individual	Electricidad	278
23	Bajo Martín	Con calefacción	Con calefacción individual	Derivados del petróleo	815
23	Bajo Martín	Con calefacción	Con calefacción individual	Madera	43
23	Bajo Martín	Con calefacción	Con calefacción individual	Derivados del carbón	10
23	Bajo Martín	Con calefacción	Con calefacción individual	Otros	12
23	Bajo Martín	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	228
