Año	Comarca código	Comarca nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2011	15	Ribera Alta del Ebro	20678	1001821	878183	5265247	5240801
2011	16	Valdejalón	25461	1036876	770651	5509571	5480079
2011	17	D.C. Zaragoza	540710	25842753	25026297	140917914	138539982
2011	18	Ribera Baja del Ebro	8028	306131	231533	1085235	1081535
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	12824	320957	271784	2002626	1990326
2011	20	Comunidad de Calatayud	49835	1009489	870159	5000142	4981126
2011	21	Campo de Cariñena	10889	208572	193409	1350615	1349432
2011	22	Campo de Belchite	6793	101424	71635	374334	373152
2011	23	Bajo Martín	8385	134260	130418	774364	724892
2011	24	Campo de Daroca	11185	173506	150447	793802	724878
2011	25	Jiloca	21216	317973	305775	1860927	1775437
2011	26	Cuencas Mineras	14025	190967	143682	958136	835418
2011	27	Andorra-Sierra de Arcos	11376	362895	252571	1475813	1356602
2011	28	Bajo Aragón	30336	642330	595463	4166877	3942420
2011	29	Comunidad de Teruel	49953	1400624	1359275	7994004	7199031
2011	30	Maestrazgo	6889	95019	72687	367288	350418
2011	31	Sierra de Albarracín	10404	168730	137144	774237	740139
2011	32	Gúdar-Javalambre	21416	337323	286124	1731126	1620447
2011	33	Matarraña / Matarranya	10850	230659	196017	1281533	1190667
2012	01	La Jacetania	43460	2297290	1529323	9645195	9600506
2012	02	Alto Gállego	31401	1109022	799740	6130535	6077659
2012	03	Sobrarbe	10456	301544	216559	1701725	1700829
2012	04	La Ribagorza	21182	779894	535910	3813335	3804391
2012	05	Cinco Villas	30794	1114121	896510	5730920	5708240
2012	06	Hoya de Huesca / Plana de Uesca	68750	1917261	1879124	17752216	17287783
2012	07	Somontano de Barbastro	22687	596953	572629	5089096	5077556
2012	08	Cinca Medio	19591	406207	399176	3993784	3991534
2012	09	La Litera / La Llitera	16104	391375	366166	3393285	3382124
2012	10	Los Monegros	17212	389436	366260	2586108	2580762
2012	11	Bajo Cinca / Baix Cinca	18335	401571	401571	3715017	3715013
2012	12	Tarazona y el Moncayo	16833	254432	245329	2210901	2210895
2012	13	Campo de Borja	13906	212198	209421	1670426	1669163
2012	14	Aranda	9613	169725	148869	792478	703647
2012	15	Ribera Alta del Ebro	21126	1024241	926753	5906674	5878399
2012	16	Valdejalón	25830	1029456	805514	6133147	6118499
2012	17	D.C. Zaragoza	547912	26270660	25633799	170369757	167608207
2012	18	Ribera Baja del Ebro	8043	259697	209126	1065803	1065797
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	12892	324127	282910	2293066	2140952
2012	20	Comunidad de Calatayud	50833	1048620	934055	5903352	5874565
2012	21	Campo de Cariñena	10971	212774	201413	1584045	1582427
2012	22	Campo de Belchite	6795	103337	75642	425320	425316
