CCAA código	CCAA nombre	Año	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
02	Aragón	2013	96	Otros servicios personales	5991
02	Aragón	2014	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	7903
02	Aragón	2014	02	Silvicultura y explotación forestal	191
02	Aragón	2014	05	Extracción de antracita, hulla y lignito	35
02	Aragón	2014	06	Extracción de crudo de petróleo y gas natural	3
02	Aragón	2014	07	Extracción de minerales metálicos	2
02	Aragón	2014	08	Otras industrias extractivas	301
02	Aragón	2014	09	Actividades de apoyo a las industrias extractivas	1
02	Aragón	2014	10	Industria de la alimentación	1588
02	Aragón	2014	11	Fabricación de bebidas	278
02	Aragón	2014	13	Industria textil	245
02	Aragón	2014	14	Confección de prendas de vestir	487
02	Aragón	2014	15	Industria del cuero y del calzado	197
02	Aragón	2014	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	619
02	Aragón	2014	17	Industria del papel	90
02	Aragón	2014	18	Artes gráficas y reproducción de soportes grabados	607
02	Aragón	2014	20	Industria química	266
02	Aragón	2014	21	Fabricación de productos farmacéuticos	32
02	Aragón	2014	22	Fabricación de productos de caucho y plásticos	284
02	Aragón	2014	23	Fabricación de otros productos minerales no metálicos	493
02	Aragón	2014	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	75
02	Aragón	2014	25	Fabricación de productos metálicos, excepto maquinaria y equipo	2261
02	Aragón	2014	26	Fabricación de productos informáticos, electrónicos y ópticos	151
02	Aragón	2014	27	Fabricación de material y equipo eléctrico	216
02	Aragón	2014	28	Fabricación de maquinaria y equipo n.c.o.p.	639
02	Aragón	2014	29	Fabricación de vehículos de motor, remolques y semirremolques	242
02	Aragón	2014	30	Fabricación de otro material de transporte	53
02	Aragón	2014	31	Fabricación de muebles	650
02	Aragón	2014	32	Otras industrias manufactureras	453
02	Aragón	2014	33	Reparación e instalación de maquinaria y equipo	589
02	Aragón	2014	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	1755
02	Aragón	2014	36	Captación, depuración y distribución de agua	90
