Municipio código	Municipio nombre	Estado	Número de edificios
44027	Arens de Lledó	Bueno	137
44028	Argente	Malo	1
44028	Argente	Deficiente	18
44028	Argente	Bueno	142
44029	Ariño	Ruinoso	1
44029	Ariño	Deficiente	15
44029	Ariño	Bueno	527
44031	Azaila	Malo	31
44031	Azaila	Deficiente	22
44031	Azaila	Bueno	110
44032	Bádenas	Deficiente	1
44032	Bádenas	Bueno	39
44033	Báguena	Ruinoso	1
44033	Báguena	Malo	2
44033	Báguena	Deficiente	15
44033	Báguena	Bueno	381
44034	Bañón	Ruinoso	4
44034	Bañón	Deficiente	16
44034	Bañón	Bueno	141
44035	Barrachina	Ruinoso	2
44035	Barrachina	Malo	19
44035	Barrachina	Deficiente	24
44035	Barrachina	Bueno	139
44036	Bea	Deficiente	2
44036	Bea	Bueno	41
44037	Beceite	Ruinoso	9
44037	Beceite	Malo	6
44037	Beceite	Deficiente	89
44037	Beceite	Bueno	352
44038	Belmonte de San José	Deficiente	9
44038	Belmonte de San José	Bueno	116
44039	Bello	Deficiente	2
44039	Bello	Bueno	337
44040	Berge	Malo	2
44040	Berge	Deficiente	4
44040	Berge	Bueno	171
44041	Bezas	Malo	1
44041	Bezas	Deficiente	11
44041	Bezas	Bueno	85
44042	Blancas	Ruinoso	1
44042	Blancas	Malo	2
44042	Blancas	Deficiente	5
44042	Blancas	Bueno	234
44043	Blesa	Malo	9
44043	Blesa	Deficiente	40
44043	Blesa	Bueno	226
44044	Bordón	Deficiente	1
44044	Bordón	Bueno	153
44045	Bronchales	Malo	2
44045	Bronchales	Deficiente	28
44045	Bronchales	Bueno	472
