Municipio código	Municipio nombre	Tipo edificio (agregado)	Tipo edificio (detalle)	Número de edificios
22103	Estadilla	Principalmente vivienda	Edificio sólo con varias viviendas familiares	38
22103	Estadilla	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	11
22105	Estopiñán del Castillo	Otro tipo	Locales	4
22105	Estopiñán del Castillo	Principalmente vivienda	Edificio sólo con una vivienda familiar	172
22105	Estopiñán del Castillo	Principalmente vivienda	Edificio sólo con varias viviendas familiares	3
22105	Estopiñán del Castillo	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
22106	Fago	Otro tipo	Locales	3
22106	Fago	Principalmente vivienda	Edificio sólo con una vivienda familiar	75
22106	Fago	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
22107	Fanlo	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22107	Fanlo	Otro tipo	Locales	9
22107	Fanlo	Principalmente vivienda	Edificio sólo con una vivienda familiar	118
22107	Fanlo	Principalmente vivienda	Edificio sólo con varias viviendas familiares	7
22109	Fiscal	Otro tipo	Locales	21
22109	Fiscal	Principalmente vivienda	Edificio sólo con una vivienda familiar	189
22109	Fiscal	Principalmente vivienda	Edificio sólo con varias viviendas familiares	13
22109	Fiscal	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	11
22110	Fonz	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	2
22110	Fonz	Otro tipo	Locales	10
22110	Fonz	Principalmente vivienda	Edificio sólo con una vivienda familiar	506
22110	Fonz	Principalmente vivienda	Edificio sólo con varias viviendas familiares	66
22110	Fonz	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	21
22110	Fonz	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
22111	Foradada del Toscar	Otro tipo	Locales	11
22111	Foradada del Toscar	Principalmente vivienda	Edificio sólo con una vivienda familiar	134
22111	Foradada del Toscar	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
22111	Foradada del Toscar	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
22112	Fraga	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	11
22112	Fraga	Otro tipo	Locales	227
22112	Fraga	Principalmente vivienda	Edificio sólo con una vivienda familiar	1413
22112	Fraga	Principalmente vivienda	Edificio sólo con varias viviendas familiares	526
22112	Fraga	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	280
22112	Fraga	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	2
22113	Fueva (La)	Otro tipo	Locales	37
22113	Fueva (La)	Principalmente vivienda	Edificio sólo con una vivienda familiar	255
22113	Fueva (La)	Principalmente vivienda	Edificio sólo con varias viviendas familiares	9
22113	Fueva (La)	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	15
22114	Gistaín	Otro tipo	Locales	3
22114	Gistaín	Principalmente vivienda	Edificio sólo con una vivienda familiar	48
22114	Gistaín	Principalmente vivienda	Edificio sólo con varias viviendas familiares	6
22114	Gistaín	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	8
22115	Grado (El)	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22115	Grado (El)	Otro tipo	Locales	10
22115	Grado (El)	Principalmente vivienda	Edificio sólo con una vivienda familiar	352
22115	Grado (El)	Principalmente vivienda	Edificio sólo con varias viviendas familiares	45
22115	Grado (El)	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	10
22116	Grañén	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	5
22116	Grañén	Otro tipo	Locales	53
22116	Grañén	Principalmente vivienda	Edificio sólo con una vivienda familiar	590
22116	Grañén	Principalmente vivienda	Edificio sólo con varias viviendas familiares	75
22116	Grañén	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	35
22116	Grañén	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	1
22116	Grañén	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	2
22117	Graus	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	5
22117	Graus	Otro tipo	Locales	85
22117	Graus	Principalmente vivienda	Edificio sólo con una vivienda familiar	1057
22117	Graus	Principalmente vivienda	Edificio sólo con varias viviendas familiares	158
22117	Graus	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	126
22117	Graus	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	4
22119	Gurrea de Gállego	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	3
22119	Gurrea de Gállego	Otro tipo	Locales	77
22119	Gurrea de Gállego	Principalmente vivienda	Edificio sólo con una vivienda familiar	728
22119	Gurrea de Gállego	Principalmente vivienda	Edificio sólo con varias viviendas familiares	43
22119	Gurrea de Gállego	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	27
22122	Hoz de Jaca	Otro tipo	Locales	34
22122	Hoz de Jaca	Principalmente vivienda	Edificio sólo con una vivienda familiar	61
22122	Hoz de Jaca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	3
22122	Hoz de Jaca	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	7
22124	Huerto	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22124	Huerto	Otro tipo	Locales	13
22124	Huerto	Principalmente vivienda	Edificio sólo con una vivienda familiar	189
22124	Huerto	Principalmente vivienda	Edificio sólo con varias viviendas familiares	5
22124	Huerto	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	5
22125	Huesca	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	41
22125	Huesca	Otro tipo	Locales	832
22125	Huesca	Principalmente vivienda	Edificio sólo con una vivienda familiar	996
22125	Huesca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	732
22125	Huesca	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1076
22125	Huesca	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	4
22125	Huesca	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	21
22125	Huesca	Principalmente vivienda	Edificios principalmente con vivienda colectiva: instituciones de enseñanza,¿	3
22125	Huesca	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	6
22125	Huesca	Principalmente vivienda	Alojamientos	9
22126	Ibieca	Otro tipo	Locales	4
22126	Ibieca	Principalmente vivienda	Edificio sólo con una vivienda familiar	77
22126	Ibieca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
22127	Igriés	Principalmente vivienda	Edificio sólo con una vivienda familiar	102
22127	Igriés	Principalmente vivienda	Edificio sólo con varias viviendas familiares	7
22127	Igriés	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	1
22127	Igriés	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
22128	Ilche	Otro tipo	Locales	16
22128	Ilche	Principalmente vivienda	Edificio sólo con una vivienda familiar	134
22128	Ilche	Principalmente vivienda	Edificio sólo con varias viviendas familiares	4
22128	Ilche	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
22129	Isábena	Otro tipo	Locales	8
22129	Isábena	Principalmente vivienda	Edificio sólo con una vivienda familiar	133
22129	Isábena	Principalmente vivienda	Edificio sólo con varias viviendas familiares	10
22129	Isábena	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
22130	Jaca	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	20
22130	Jaca	Otro tipo	Locales	187
22130	Jaca	Principalmente vivienda	Edificio sólo con una vivienda familiar	1071
22130	Jaca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	639
22130	Jaca	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	335
22130	Jaca	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	6
22130	Jaca	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	1
22131	Jasa	Otro tipo	Locales	10
22131	Jasa	Principalmente vivienda	Edificio sólo con una vivienda familiar	110
22131	Jasa	Principalmente vivienda	Edificio sólo con varias viviendas familiares	19
22131	Jasa	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
22133	Labuerda	Otro tipo	Locales	9
22133	Labuerda	Principalmente vivienda	Edificio sólo con una vivienda familiar	83
22133	Labuerda	Principalmente vivienda	Edificio sólo con varias viviendas familiares	6
22133	Labuerda	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
22135	Laluenga	Otro tipo	Locales	2
22135	Laluenga	Principalmente vivienda	Edificio sólo con una vivienda familiar	147
22135	Laluenga	Principalmente vivienda	Edificio sólo con varias viviendas familiares	9
22135	Laluenga	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
22136	Lalueza	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22136	Lalueza	Otro tipo	Locales	29
22136	Lalueza	Principalmente vivienda	Edificio sólo con una vivienda familiar	516
22136	Lalueza	Principalmente vivienda	Edificio sólo con varias viviendas familiares	11
22136	Lalueza	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	18
22137	Lanaja	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	2
22137	Lanaja	Otro tipo	Locales	13
22137	Lanaja	Principalmente vivienda	Edificio sólo con una vivienda familiar	741
22137	Lanaja	Principalmente vivienda	Edificio sólo con varias viviendas familiares	45
22137	Lanaja	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
22139	Laperdiguera	Otro tipo	Locales	2
22139	Laperdiguera	Principalmente vivienda	Edificio sólo con una vivienda familiar	75
22141	Lascellas-Ponzano	Otro tipo	Locales	5
22141	Lascellas-Ponzano	Principalmente vivienda	Edificio sólo con una vivienda familiar	142
22141	Lascellas-Ponzano	Principalmente vivienda	Edificio sólo con varias viviendas familiares	3
22141	Lascellas-Ponzano	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22142	Lascuarre	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22142	Lascuarre	Otro tipo	Locales	3
22142	Lascuarre	Principalmente vivienda	Edificio sólo con una vivienda familiar	106
22142	Lascuarre	Principalmente vivienda	Edificio sólo con varias viviendas familiares	8
22142	Lascuarre	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
22143	Laspaúles	Otro tipo	Locales	12
22143	Laspaúles	Principalmente vivienda	Edificio sólo con una vivienda familiar	153
22143	Laspaúles	Principalmente vivienda	Edificio sólo con varias viviendas familiares	16
22143	Laspaúles	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	8
22144	Laspuña	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22144	Laspuña	Otro tipo	Locales	13
22144	Laspuña	Principalmente vivienda	Edificio sólo con una vivienda familiar	97
22144	Laspuña	Principalmente vivienda	Edificio sólo con varias viviendas familiares	4
22144	Laspuña	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	11
22149	Loarre	Otro tipo	Locales	40
22149	Loarre	Principalmente vivienda	Edificio sólo con una vivienda familiar	261
22149	Loarre	Principalmente vivienda	Edificio sólo con varias viviendas familiares	17
22150	Loporzano	Otro tipo	Locales	24
22150	Loporzano	Principalmente vivienda	Edificio sólo con una vivienda familiar	209
