Mes y año	División (2 dígitos) código	División (2 dígitos) descripción	Afiliaciones en alta
Junio 2018	55	Servicios de alojamiento	6616
Junio 2018	56	Servicios de comidas y bebidas	32092
Junio 2018	58	Edición	1208
Junio 2018	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	777
Junio 2018	60	Actividades de programación y emisión de radio y televisión	424
Junio 2018	61	Telecomunicaciones	1251
Junio 2018	62	Programación, consultoría y otras actividades relacionadas con la informática	5564
Junio 2018	63	Servicios de información	402
Junio 2018	64	Servicios financieros, excepto seguros y fondos de pensiones	5662
Junio 2018	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	1175
Junio 2018	66	Actividades auxiliares a los servicios financieros y a los seguros	2716
Junio 2018	68	Actividades inmobiliarias	2754
Junio 2018	69	Actividades jurídicas y de contabilidad	7355
Junio 2018	70	Actividades de las sedes centrales; actividades de consultoría de gestión empresarial	1854
Junio 2018	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	5271
Junio 2018	72	Investigación y desarrollo	1819
Junio 2018	73	Publicidad y estudios de mercado	1427
Junio 2018	74	Otras actividades profesionales, científicas y técnicas	3091
Junio 2018	75	Actividades veterinarias	650
Junio 2018	77	Actividades de alquiler	1458
Junio 2018	78	Actividades relacionadas con el empleo	12325
Junio 2018	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	1160
Junio 2018	80	Actividades de seguridad e investigación	2588
Junio 2018	81	Servicios a edificios y actividades de jardinería	17213
Junio 2018	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	7472
Junio 2018	84	Administración Pública y defensa; Seguridad Social obligatoria	38633
Junio 2018	85	Educación	19856
Junio 2018	86	Actividades sanitarias	34624
Junio 2018	87	Asistencia en establecimientos residenciales	11899
Junio 2018	88	Actividades de servicios sociales sin alojamiento	5788
Junio 2018	90	Actividades de creación, artísticas y espectáculos	1354
Junio 2018	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	292
Junio 2018	92	Actividades de juegos de azar y apuestas	1137
Junio 2018	93	Actividades deportivas, recreativas y de entretenimiento	5145
Junio 2018	94	Actividades asociativas	5301
Junio 2018	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	2195
Junio 2018	96	Otros servicios personales	9026
Junio 2018	97	Actividades de los hogares como empleadores de personal doméstico	17070
Junio 2018	99	Actividades de organizaciones y organismos extraterritoriales	8
Marzo 2018	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	34121
Marzo 2018	02	Silvicultura y explotación forestal	1803
Marzo 2018	03	Pesca y acuicultura	143
Marzo 2018	05	Extracción de antracita, hulla y lignito	124
Marzo 2018	07	Extracción de minerales metálicos	51
Marzo 2018	08	Otras industrias extractivas	736
Marzo 2018	09	Actividades de apoyo a las industrias extractivas	4
Marzo 2018	10	Industria de la alimentación	13740
Marzo 2018	11	Fabricación de bebidas	1296
Marzo 2018	13	Industria textil	726
Marzo 2018	14	Confección de prendas de vestir	1474
Marzo 2018	15	Industria del cuero y del calzado	856
Marzo 2018	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	2036
Marzo 2018	17	Industria del papel	2544
Marzo 2018	18	Artes gráficas y reproducción de soportes grabados	1636
Marzo 2018	20	Industria química	3785
Marzo 2018	21	Fabricación de productos farmacéuticos	1281
Marzo 2018	22	Fabricación de productos de caucho y plásticos	4119
Marzo 2018	23	Fabricación de otros productos minerales no metálicos	3512
Marzo 2018	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	2919
Marzo 2018	25	Fabricación de productos metálicos, excepto maquinaria y equipo	10017
Marzo 2018	26	Fabricación de productos informáticos, electrónicos y ópticos	1714
Marzo 2018	27	Fabricación de material y equipo eléctrico	5598
