Municipio codigo	Municipio nombre	Estado civil, código	Estado civil	Sexo, código	Sexo	Nº personas
44216	Teruel	1	Soltero	1	Hombre	4906,0330845742
44217	Toril y Masegoso	1	Soltero	1	Hombre	7,0260083286
44218	Tormón	1	Soltero	1	Hombre	0,7579717023
44219	Tornos	1	Soltero	1	Hombre	41,664336166
44220	Torralba de los Sisones	1	Soltero	1	Hombre	21,7735352812
44221	Torrecilla de Alcañiz	1	Soltero	1	Hombre	63,1369520491
44222	Torrecilla del Rebollar	1	Soltero	1	Hombre	35,2486217799
44223	Torre de Arcas	1	Soltero	1	Hombre	8,7253769707
44224	Torre de las Arcas	1	Soltero	1	Hombre	1,471938232
44225	Torre del Compte	1	Soltero	1	Hombre	25,0606884939
44226	Torrelacárcel	1	Soltero	1	Hombre	39,9880024932
44227	Torre los Negros	1	Soltero	1	Hombre	10,235170542
44228	Torremocha de Jiloca	1	Soltero	1	Hombre	26,6751233536
44229	Torres de Albarracín	1	Soltero	1	Hombre	41,9578239369
44230	Torrevelilla	1	Soltero	1	Hombre	29,9460584228
44231	Torrijas	1	Soltero	1	Hombre	10,9039137433
44232	Torrijo del Campo	1	Soltero	1	Hombre	89,1730196828
44234	Tramacastiel	1	Soltero	1	Hombre	22,8661735898
44235	Tramacastilla	1	Soltero	1	Hombre	19,6904214362
44236	Tronchón	1	Soltero	1	Hombre	34,5800483186
44237	Urrea de Gaén	1	Soltero	1	Hombre	60,6523763143
44238	Utrillas	1	Soltero	1	Hombre	509,2341032234
44239	Valacloche	1	Soltero	1	Hombre	10,7673266489
44240	Valbona	1	Soltero	1	Hombre	41,9139739081
44241	Valdealgorfa	1	Soltero	1	Hombre	83,7481203264
44243	Valdecuenca	1	Soltero	1	Hombre	13,4939307572
44244	Valdelinares	1	Soltero	1	Hombre	34,6731394786
44245	Valdeltormo	1	Soltero	1	Hombre	35,5037065667
44246	Valderrobres	1	Soltero	1	Hombre	367,1008496063
44247	Valjunquera	1	Soltero	1	Hombre	69,7727090844
44249	Vallecillo (El)	1	Soltero	1	Hombre	15,5179046274
44250	Veguillas de la Sierra	1	Soltero	1	Hombre	3,9999999999
44251	Villafranca del Campo	1	Soltero	1	Hombre	59,5391150919
44252	Villahermosa del Campo	1	Soltero	1	Hombre	15,593994371
44256	Villanueva del Rebollar de la Sierra	1	Soltero	1	Hombre	3,4613193903
44257	Villar del Cobo	1	Soltero	1	Hombre	47,1610099011
44258	Villar del Salz	1	Soltero	1	Hombre	27,4575539103
