Municipio codigo	Municipio nombre	Tipo de estudios realizados, código	Tipo de estudios realizados	Población
44149	Mirambel	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,4383482403
44150	Miravete de la Sierra	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,717295339
44151	Molinos	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	9,578203384
44153	Monreal del Campo	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	63,9348102964
44154	Monroyo	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	0,9186867925
44155	Montalbán	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	22,3179492313
44157	Monterde de Albarracín	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,1697061937
44158	Mora de Rubielos	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	24,0198891751
44159	Moscardón	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,6222863226
44160	Mosqueruela	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	13,6806153958
44161	Muniesa	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	12,0385577237
