Mes y año	Mes (código)	Mes nombre	Año	Sección (1 letra) código	Sección (1 letra) descripción	Sexo	Número de contratos	CNAE año	CCAA nombre
Junio 2016	201606	Junio	2016	D	Suministro de energía eléctrica, gas, vapor y aire acondicionado	Mujeres	2	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	E	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación	Hombres	153	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	E	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación	Mujeres	41	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	F	Construcción	Hombres	2152	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	F	Construcción	Mujeres	112	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	Hombres	2982	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	Mujeres	3740	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	H	Transporte y almacenamiento	Hombres	2097	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	H	Transporte y almacenamiento	Mujeres	535	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	I	Hostelería	Hombres	4611	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	I	Hostelería	Mujeres	5589	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	J	Información y comunicaciones	Hombres	423	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	J	Información y comunicaciones	Mujeres	371	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	K	Actividades financieras y de seguros	Hombres	71	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	K	Actividades financieras y de seguros	Mujeres	105	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	L	Actividades inmobiliarias	Hombres	17	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	L	Actividades inmobiliarias	Mujeres	32	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	M	Actividades profesionales, científicas y técnicas	Hombres	643	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	M	Actividades profesionales, científicas y técnicas	Mujeres	733	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	N	Actividades administrativas y servicios auxiliares	Hombres	2568	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	N	Actividades administrativas y servicios auxiliares	Mujeres	3169	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	O	Administración Pública y defensa; Seguridad Social obligatoria	Hombres	540	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	O	Administración Pública y defensa; Seguridad Social obligatoria	Mujeres	555	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	P	Educación	Hombres	442	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	P	Educación	Mujeres	719	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	Q	Actividades sanitarias y de servicios sociales	Hombres	440	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	Q	Actividades sanitarias y de servicios sociales	Mujeres	2213	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	R	Actividades artísticas, recreativas y de entretenimiento	Hombres	1785	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	R	Actividades artísticas, recreativas y de entretenimiento	Mujeres	1044	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	S	Otros servicios	Hombres	297	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	S	Otros servicios	Mujeres	717	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	T	Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio	Hombres	88	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	T	Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio	Mujeres	467	CNAE - 2009	Aragón
Junio 2016	201606	Junio	2016	U	Actividades de organizaciones y organismos extraterritoriales	Mujeres	1	CNAE - 2009	Aragón
Mayo 2016	201605	Mayo	2016	A	Agricultura, ganadería, silvicultura y pesca	Hombres	9425	CNAE - 2009	Aragón
Mayo 2016	201605	Mayo	2016	A	Agricultura, ganadería, silvicultura y pesca	Mujeres	2828	CNAE - 2009	Aragón
Mayo 2016	201605	Mayo	2016	B	Industrias extractivas	Hombres	22	CNAE - 2009	Aragón
Mayo 2016	201605	Mayo	2016	B	Industrias extractivas	Mujeres	1	CNAE - 2009	Aragón
Mayo 2016	201605	Mayo	2016	C	Industria manufacturera	Hombres	5810	CNAE - 2009	Aragón
Mayo 2016	201605	Mayo	2016	C	Industria manufacturera	Mujeres	2415	CNAE - 2009	Aragón
Mayo 2016	201605	Mayo	2016	D	Suministro de energía eléctrica, gas, vapor y aire acondicionado	Hombres	6	CNAE - 2009	Aragón
Mayo 2016	201605	Mayo	2016	D	Suministro de energía eléctrica, gas, vapor y aire acondicionado	Mujeres	2	CNAE - 2009	Aragón
Mayo 2016	201605	Mayo	2016	E	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación	Hombres	134	CNAE - 2009	Aragón
Mayo 2016	201605	Mayo	2016	E	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación	Mujeres	36	CNAE - 2009	Aragón
Mayo 2016	201605	Mayo	2016	F	Construcción	Hombres	1919	CNAE - 2009	Aragón
Mayo 2016	201605	Mayo	2016	F	Construcción	Mujeres	129	CNAE - 2009	Aragón
Mayo 2016	201605	Mayo	2016	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	Hombres	2502	CNAE - 2009	Aragón
Mayo 2016	201605	Mayo	2016	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	Mujeres	3094	CNAE - 2009	Aragón
