Comarca código	Comarca nombre	Corine Land Cover 2000 nivel 5 descripción	Superficie (has)	Año
06	Hoya de Huesca / Plana de Uesca	Autopistas, autovías y terrenos asociados	671,661907	2000
06	Hoya de Huesca / Plana de Uesca	Bosque mixto	9046,05935	2000
06	Hoya de Huesca / Plana de Uesca	Bosques de coníferas con hojas aciculares	21018,401954	2000
06	Hoya de Huesca / Plana de Uesca	Bosques de coníferas con hojas de tipo cupresáceo	0	2000
06	Hoya de Huesca / Plana de Uesca	Bosques de ribera	358,784853	2000
06	Hoya de Huesca / Plana de Uesca	Caducifolias y marcescentes	4417,081594	2000
06	Hoya de Huesca / Plana de Uesca	Campos de golf	0	2000
06	Hoya de Huesca / Plana de Uesca	Canales artificiales	223,459457	2000
06	Hoya de Huesca / Plana de Uesca	Complejos ferroviarios	12,039142	2000
06	Hoya de Huesca / Plana de Uesca	Cultivos herbáceos en regadío	21520,981863	2000
06	Hoya de Huesca / Plana de Uesca	Cárcavas y/o zonas en proceso de erosión	413,061666	2000
06	Hoya de Huesca / Plana de Uesca	Embalses	1844,435102	2000
06	Hoya de Huesca / Plana de Uesca	Escombreras y vertederos	0	2000
06	Hoya de Huesca / Plana de Uesca	Espacios orófilos altitudinales con vegetación escasa	0	2000
06	Hoya de Huesca / Plana de Uesca	Estructura urbana abierta	115,035266	2000
06	Hoya de Huesca / Plana de Uesca	Frutales en secano	1199,578413	2000
06	Hoya de Huesca / Plana de Uesca	Glaciares y nieves permanentes	0	2000
06	Hoya de Huesca / Plana de Uesca	Grandes formaciones de matorral denso o medianamente denso	21964,075175	2000
06	Hoya de Huesca / Plana de Uesca	Grandes superficies de equipamientos y servicios	44,49484	2000
06	Hoya de Huesca / Plana de Uesca	Humedales y zonas pantanosas	142,309557	2000
06	Hoya de Huesca / Plana de Uesca	Lagos y lagunas	0	2000
06	Hoya de Huesca / Plana de Uesca	Landas y matorrales en climas húmedos. Vegetación mesófila	0	2000
06	Hoya de Huesca / Plana de Uesca	Matorral boscoso de bosque mixto	4712,140225	2000
06	Hoya de Huesca / Plana de Uesca	Matorral boscoso de coníferas	5093,608868	2000
06	Hoya de Huesca / Plana de Uesca	Matorral boscoso de frondosas	6798,749681	2000
06	Hoya de Huesca / Plana de Uesca	Matorrales subarbustivos o arbustivos muy poco densos	14051,370812	2000
06	Hoya de Huesca / Plana de Uesca	Mezcla de frondosas	1271,732941	2000
06	Hoya de Huesca / Plana de Uesca	Mosaico de cultivos agrícolas en regadío con espacios significativos de vegetación natural y semi-natural	191,281585	2000
06	Hoya de Huesca / Plana de Uesca	Mosaico de cultivos agrícolas en secano con espacios significativos de vegetación natural y semi-natural	12296,612552	2000
06	Hoya de Huesca / Plana de Uesca	Mosaico de cultivos anuales con cultivos  permanentes en  secano	4273,058265	2000
06	Hoya de Huesca / Plana de Uesca	Mosaico de cultivos anuales con cultivos permanentes en regadío	128,156711	2000
06	Hoya de Huesca / Plana de Uesca	Mosaico de cultivos anuales con prados o praderas en regadío	0	2000
06	Hoya de Huesca / Plana de Uesca	Mosaico de cultivos anuales con prados o praderas en secano	234,847142	2000
