Municipio código	Municipio nombre	Año	Sistema de cultivo	Total (A+B+C+D)	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	Eriales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos
22119	Gurrea de Gállego	2017	Secano	14848	10241	7978	1687	576	2152	0	752	1400	1332	1092	240	0	1123	0	216	549	358
22122	Hoz de Jaca	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22122	Hoz de Jaca	2017	Secano	1245	58	12	46	0	62	62	0	0	925	710	0	215	200	0	105	19	76
22124	Huerto	2017	Regadío	4508	4489	4291	192	6	0	0	0	0	19	19	0	0	0	0	0	0	0
22124	Huerto	2017	Secano	4201	2057	1699	320	38	483	0	18	465	1160	74	107	979	501	0	106	213	182
22125	Huesca	2017	Regadío	3630	3626	3161	456	9	0	0	0	0	4	4	0	0	0	0	0	0	0
22125	Huesca	2017	Secano	12459	7176	6320	608	248	1436	0	15	1421	1666	464	247	955	2181	0	576	1283	322
22126	Ibieca	2017	Regadío	3	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22126	Ibieca	2017	Secano	1490	868	675	90	103	78	0	0	78	507	472	11	24	37	0	8	29	0
22127	Igriés	2017	Regadío	8	8	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
22127	Igriés	2017	Secano	1947	1250	1098	80	72	120	0	1	119	341	111	10	220	236	0	47	96	93
22128	Ilche	2017	Regadío	3966	3960	3661	200	99	0	0	0	0	6	6	0	0	0	0	0	0	0
22128	Ilche	2017	Secano	2434	554	401	127	26	468	0	26	442	1047	109	261	677	365	0	88	176	101
22129	Isábena	2017	Regadío	51	51	41	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22129	Isábena	2017	Secano	11797	1139	927	188	24	97	97	0	0	9745	3305	1743	4697	816	0	407	150	259
22130	Jaca	2017	Regadío	593	483	361	122	0	110	110	0	0	0	0	0	0	0	0	0	0	0
22130	Jaca	2017	Secano	39771	7379	6251	1122	6	153	153	0	0	30012	18249	2410	9353	2227	0	263	1084	880
22131	Jasa	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22131	Jasa	2017	Secano	894	56	25	31	0	8	8	0	0	801	560	27	214	29	0	2	21	6
22133	Labuerda	2017	Regadío	27	14	14	0	0	12	12	0	0	1	1	0	0	0	0	0	0	0
22133	Labuerda	2017	Secano	1725	138	123	15	0	111	111	0	0	1130	666	255	209	346	0	236	39	71
22135	Laluenga	2017	Regadío	1189	1189	1151	20	18	0	0	0	0	0	0	0	0	0	0	0	0	0
22135	Laluenga	2017	Secano	2389	1387	1142	167	78	110	0	24	86	683	3	48	632	209	0	58	98	53
22136	Lalueza	2017	Regadío	6957	6943	6154	766	23	0	0	0	0	14	14	0	0	0	0	0	0	0
22136	Lalueza	2017	Secano	1876	95	39	40	16	983	0	619	364	37	36	1	0	761	0	95	353	313
22137	Lanaja	2017	Regadío	4787	4774	4316	418	40	0	0	0	0	13	13	0	0	0	0	0	0	0
22137	Lanaja	2017	Secano	13605	6462	4659	1422	381	2846	0	1940	906	3432	2959	473	0	865	0	139	560	166
