Año	Provincia código	Provincia nombre	División (2 dígitos) código	División (2 dígitos) descripción	Año
2010	22	Huesca	60	Actividades de programación y emisión de radio y televisión	29
2010	22	Huesca	61	Telecomunicaciones	29
2010	22	Huesca	62	Programación, consultoría y otras actividades relacionadas con la informática	136
2010	22	Huesca	63	Servicios de información	25
2010	22	Huesca	64	Servicios financieros, excepto seguros y fondos de pensiones	353
2010	22	Huesca	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	36
2010	22	Huesca	66	Actividades auxiliares a los servicios financieros y a los seguros	318
2010	22	Huesca	68	Actividades inmobiliarias	2634
2010	22	Huesca	69	Actividades jurídicas y de contabilidad	630
2010	22	Huesca	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	936
2010	22	Huesca	72	Investigación y desarrollo	72
2010	22	Huesca	73	Publicidad y estudios de mercado	151
2010	22	Huesca	74	Otras actividades profesionales, científicas y técnicas	355
2010	22	Huesca	75	Actividades veterinarias	104
2010	22	Huesca	77	Actividades de alquiler	431
2010	22	Huesca	78	Actividades relacionadas con el empleo	26
2010	22	Huesca	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	105
2010	22	Huesca	80	Actividades de seguridad e investigación	23
2010	22	Huesca	81	Servicios a edificios y actividades de jardinería	286
2010	22	Huesca	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	462
2010	22	Huesca	85	Educación	735
2010	22	Huesca	86	Actividades sanitarias	386
2010	22	Huesca	87	Asistencia en establecimientos residenciales	40
2010	22	Huesca	88	Actividades de servicios sociales sin alojamiento	36
2010	22	Huesca	90	Actividades de creación, artísticas y espectáculos	254
2010	22	Huesca	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	42
2010	22	Huesca	92	Actividades de juegos de azar y apuestas	146
2010	22	Huesca	93	Actividades deportivas, recreativas y de entretenimiento	235
2010	22	Huesca	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	269
2010	22	Huesca	96	Otros servicios personales	1007
2010	44	Teruel	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	1258
2010	44	Teruel	02	Silvicultura y explotación forestal	48
2010	44	Teruel	05	Extracción de antracita, hulla y lignito	17
2010	44	Teruel	08	Otras industrias extractivas	131
2010	44	Teruel	10	Industria de la alimentación	411
2010	44	Teruel	11	Fabricación de bebidas	34
2010	44	Teruel	13	Industria textil	27
2010	44	Teruel	14	Confección de prendas de vestir	28
2010	44	Teruel	15	Industria del cuero y del calzado	5
2010	44	Teruel	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	174
2010	44	Teruel	17	Industria del papel	9
2010	44	Teruel	18	Artes gráficas y reproducción de soportes grabados	56
2010	44	Teruel	20	Industria química	23
2010	44	Teruel	21	Fabricación de productos farmacéuticos	1
2010	44	Teruel	22	Fabricación de productos de caucho y plásticos	10
2010	44	Teruel	23	Fabricación de otros productos minerales no metálicos	130
2010	44	Teruel	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	9
2010	44	Teruel	25	Fabricación de productos metálicos, excepto maquinaria y equipo	249
2010	44	Teruel	26	Fabricación de productos informáticos, electrónicos y ópticos	4
2010	44	Teruel	27	Fabricación de material y equipo eléctrico	7
2010	44	Teruel	28	Fabricación de maquinaria y equipo n.c.o.p.	41
2010	44	Teruel	29	Fabricación de vehículos de motor, remolques y semirremolques	22
2010	44	Teruel	30	Fabricación de otro material de transporte	3
2010	44	Teruel	31	Fabricación de muebles	71
2010	44	Teruel	32	Otras industrias manufactureras	19
2010	44	Teruel	33	Reparación e instalación de maquinaria y equipo	34
2010	44	Teruel	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	392
2010	44	Teruel	36	Captación, depuración y distribución de agua	8
2010	44	Teruel	37	Recogida y tratamiento de aguas residuales	23
2010	44	Teruel	38	Recogida, tratamiento y eliminación de residuos; valorización	18
2010	44	Teruel	39	Actividades de descontaminación y otros servicios de gestión de residuos	19
2010	44	Teruel	41	Construcción de edificios	1406
2010	44	Teruel	42	Ingeniería civil	181
2010	44	Teruel	43	Actividades de construcción especializada	2146
2010	44	Teruel	45	Venta y reparación de vehículos de motor y motocicletas	508
2010	44	Teruel	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	737
2010	44	Teruel	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	3949
2010	44	Teruel	49	Transporte terrestre y por tubería	806
2010	44	Teruel	52	Almacenamiento y actividades anexas al transporte	53
2010	44	Teruel	53	Actividades postales y de correos	14
2010	44	Teruel	55	Servicios de alojamiento	479
2010	44	Teruel	56	Servicios de comidas y bebidas	1602
2010	44	Teruel	58	Edición	37
2010	44	Teruel	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	27
2010	44	Teruel	60	Actividades de programación y emisión de radio y televisión	15
2010	44	Teruel	61	Telecomunicaciones	9
2010	44	Teruel	62	Programación, consultoría y otras actividades relacionadas con la informática	73
2010	44	Teruel	63	Servicios de información	10
2010	44	Teruel	64	Servicios financieros, excepto seguros y fondos de pensiones	237
2010	44	Teruel	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	23
2010	44	Teruel	66	Actividades auxiliares a los servicios financieros y a los seguros	164
2010	44	Teruel	68	Actividades inmobiliarias	1180
2010	44	Teruel	69	Actividades jurídicas y de contabilidad	311
2010	44	Teruel	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	462
2010	44	Teruel	72	Investigación y desarrollo	37
2010	44	Teruel	73	Publicidad y estudios de mercado	67
2010	44	Teruel	74	Otras actividades profesionales, científicas y técnicas	152
2010	44	Teruel	75	Actividades veterinarias	56
2010	44	Teruel	77	Actividades de alquiler	233
2010	44	Teruel	78	Actividades relacionadas con el empleo	11
2010	44	Teruel	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	31
2010	44	Teruel	80	Actividades de seguridad e investigación	15
2010	44	Teruel	81	Servicios a edificios y actividades de jardinería	119
2010	44	Teruel	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	250
2010	44	Teruel	85	Educación	281
2010	44	Teruel	86	Actividades sanitarias	182
2010	44	Teruel	87	Asistencia en establecimientos residenciales	20
2010	44	Teruel	88	Actividades de servicios sociales sin alojamiento	28
2010	44	Teruel	90	Actividades de creación, artísticas y espectáculos	110
2010	44	Teruel	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	40
2010	44	Teruel	92	Actividades de juegos de azar y apuestas	63
2010	44	Teruel	93	Actividades deportivas, recreativas y de entretenimiento	124
2010	44	Teruel	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	104
2010	44	Teruel	96	Otros servicios personales	571
2010	50	Zaragoza	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	2455
2010	50	Zaragoza	02	Silvicultura y explotación forestal	43
2010	50	Zaragoza	05	Extracción de antracita, hulla y lignito	34
2010	50	Zaragoza	07	Extracción de minerales metálicos	2
2010	50	Zaragoza	08	Otras industrias extractivas	141
2010	50	Zaragoza	09	Actividades de apoyo a las industrias extractivas	1
2010	50	Zaragoza	10	Industria de la alimentación	734
2010	50	Zaragoza	11	Fabricación de bebidas	148
2010	50	Zaragoza	13	Industria textil	178
2010	50	Zaragoza	14	Confección de prendas de vestir	365
2010	50	Zaragoza	15	Industria del cuero y del calzado	171
2010	50	Zaragoza	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	319
2010	50	Zaragoza	17	Industria del papel	61
2010	50	Zaragoza	18	Artes gráficas y reproducción de soportes grabados	428
2010	50	Zaragoza	20	Industria química	134
2010	50	Zaragoza	21	Fabricación de productos farmacéuticos	20
2010	50	Zaragoza	22	Fabricación de productos de caucho y plásticos	227
2010	50	Zaragoza	23	Fabricación de otros productos minerales no metálicos	289
2010	50	Zaragoza	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	55
2010	50	Zaragoza	25	Fabricación de productos metálicos, excepto maquinaria y equipo	1648
2010	50	Zaragoza	26	Fabricación de productos informáticos, electrónicos y ópticos	130
2010	50	Zaragoza	27	Fabricación de material y equipo eléctrico	179
2010	50	Zaragoza	28	Fabricación de maquinaria y equipo n.c.o.p.	482
2010	50	Zaragoza	29	Fabricación de vehículos de motor, remolques y semirremolques	189
2010	50	Zaragoza	30	Fabricación de otro material de transporte	29
2010	50	Zaragoza	31	Fabricación de muebles	496
2010	50	Zaragoza	32	Otras industrias manufactureras	292
2010	50	Zaragoza	33	Reparación e instalación de maquinaria y equipo	431
2010	50	Zaragoza	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	1006
2010	50	Zaragoza	36	Captación, depuración y distribución de agua	28
2010	50	Zaragoza	37	Recogida y tratamiento de aguas residuales	84
2010	50	Zaragoza	38	Recogida, tratamiento y eliminación de residuos; valorización	74
2010	50	Zaragoza	39	Actividades de descontaminación y otros servicios de gestión de residuos	65
2010	50	Zaragoza	41	Construcción de edificios	5023
2010	50	Zaragoza	42	Ingeniería civil	874
2010	50	Zaragoza	43	Actividades de construcción especializada	10534
2010	50	Zaragoza	45	Venta y reparación de vehículos de motor y motocicletas	2232
2010	50	Zaragoza	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	7389
2010	50	Zaragoza	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	18763
2010	50	Zaragoza	49	Transporte terrestre y por tubería	5564
2010	50	Zaragoza	50	Transporte marítimo y por vías navegables interiores	4
2010	50	Zaragoza	51	Transporte aéreo	13
2010	50	Zaragoza	52	Almacenamiento y actividades anexas al transporte	677
