Año	Código del municipio	Nombre del municipio	Unidades ganaderas	Ganado bovino (cabezas)	Ganado bovino-vacas lecheras (cabezas)	Ganado bovino-resto bovino (cabezas)	Ganado ovino (cabezas)	Ganado caprino (cabezas)	Ganado porcino (cabezas)	Ganado porcino-cerdas madres (cabezas)	Ganado porcino-resto porcino (cabezas)	Ganado equino (cabezas)	Miles de aves	Conejas madres (cabezas)
1989	44056	Caminreal	1532	181	32	149	6405	5	2723	470	2253	23	1	574
1989	44059	Cantavieja	1829	552	53	499	5619	235	2321	1079	1242	48	0	9
1989	44060	Cañada de Benatanduz	472	170	0	170	3024	33	191	53	138	7	0	40
1989	44061	Cañada de Verich (La)	308	0	0	0	49	0	924	124	800	1	0	0
1989	44062	Cañada Vellida	261	0	0	0	2490	28	18	0	18	0	0	36
1989	44063	Cañizar del Olivar	84	25	0	25	677	9	4	1	3	3	0	23
1989	44064	Cascante del Río	297	0	0	0	2717	0	34	14	20	16	0	22
1989	44065	Castejón de Tornos	211	0	0	0	853	28	495	184	311	4	0	29
1989	44066	Castel de Cabra	406	0	0	0	2559	46	432	12	420	9	1	64
1989	44067	Castelnou	280	0	0	0	2694	48	6	0	6	1	0	24
1989	44068	Castelserás	2119	120	0	120	1387	110	7013	525	6488	0	12	29
1989	44070	Castellar (El)	336	38	15	23	2562	68	132	32	100	9	0	53
1989	44071	Castellote	1581	26	2	24	6351	211	2852	96	2756	34	13	1415
1989	44074	Cedrillas	1778	478	111	367	5833	214	3265	659	2606	3	1	784
1989	44075	Celadas	1043	0	0	0	9595	37	245	37	208	0	1	143
1989	44076	Cella	3757	687	261	426	13912	366	6555	1353	5202	54	4	1122
1989	44077	Cerollera (La)	449	0	0	0	140	0	1300	200	1100	9	0	0
1989	44080	Codoñera (La)	1296	0	0	0	940	29	3478	174	3304	0	18	0
1989	44082	Corbalán	310	41	0	41	2441	45	79	25	54	0	0	33
1989	44084	Cortes de Aragón	132	0	0	0	1232	7	10	0	10	1	0	3
1989	44085	Cosa	585	0	0	0	5048	21	304	60	244	0	0	42
1989	44086	Cretas	1322	60	0	60	1319	37	2804	741	2063	4	28	1108
1989	44087	Crivillén	261	0	0	0	2561	21	0	0	0	0	0	49
1989	44088	Cuba (La)	237	1	0	1	78	3	499	343	156	6	0	380
1989	44089	Cubla	221	0	0	0	2079	0	15	9	6	6	0	63
1989	44090	Cucalón	203	0	0	0	1806	165	4	4	0	0	0	27
1989	44092	Cuervo (El)	65	0	0	0	487	9	16	0	16	13	0	59
1989	44093	Cuevas de Almudén	108	0	0	0	913	21	32	0	32	0	0	54
1989	44094	Cuevas Labradas	290	3	0	3	2365	4	207	80	127	0	0	54
1989	44096	Ejulve	581	345	0	345	3233	275	16	5	11	6	0	121
1989	44097	Escorihuela	637	5	2	3	5656	42	121	40	81	4	1	103
1989	44099	Escucha	451	130	0	130	3600	54	32	22	10	1	0	828
1989	44100	Estercuel	396	0	0	0	2818	17	506	180	326	3	0	31
1989	44101	Ferreruela de Huerva	151	0	0	0	436	0	0	0	0	0	15	14
1989	44102	Fonfría	224	0	0	0	2077	61	15	15	0	0	0	4
1989	44103	Formiche Alto	314	0	0	0	1269	53	572	3	569	3	0	302
1989	44105	Fórnoles	105	0	0	0	815	18	18	16	2	10	0	430
1989	44106	Fortanete	889	300	0	300	3835	37	1329	355	974	10	0	859
1989	44107	Foz-Calanda	461	0	0	0	1518	96	2158	358	1800	3	10	0
1989	44108	Fresneda (La)	1116	44	0	44	677	16	2321	127	2194	5	50	102
1989	44109	Frías de Albarracín	425	25	0	25	3855	80	31	10	21	9	0	1
1989	44110	Fuenferrada	178	0	0	0	1693	2	17	0	17	0	0	55
1989	44111	Fuentes Calientes	534	42	27	15	4723	20	70	8	62	0	0	67
1989	44112	Fuentes Claras	1887	117	47	70	4871	28	5316	957	4359	14	1	410
1989	44113	Fuentes de Rubielos	56	1	0	1	314	65	17	2	15	19	0	17
1989	44114	Fuentespalda	3247	1	0	1	832	0	7598	644	6954	2	140	612
1989	44115	Galve	471	0	0	0	4368	76	85	4	81	1	0	57
1989	44116	Gargallo	96	0	0	0	896	31	6	0	6	0	0	19
1989	44117	Gea de Albarracín	412	16	6	10	2909	622	107	37	70	11	0	104
1989	44118	Ginebrosa (La)	1274	93	7	86	4847	879	2475	428	2047	4	12	1065
1989	44119	Griegos	436	20	0	20	4025	149	6	6	0	0	0	0
1989	44120	Guadalaviar	1056	238	99	139	8096	210	0	0	0	25	0	220
1989	44121	Gúdar	453	107	0	107	3361	178	20	13	7	14	0	12
1989	44122	Híjar	3402	633	35	598	10192	128	7203	317	6886	4	1	404
1989	44123	Hinojosa de Jarque	297	0	0	0	2624	52	69	1	68	0	1	113
1989	44124	Hoz de la Vieja (La)	448	0	0	0	4030	253	37	0	37	3	0	34
1989	44125	Huesa del Común	278	0	0	0	2634	21	17	0	17	3	0	57
1989	44126	Iglesuela del Cid (La)	912	122	0	122	1759	67	2152	125	2027	25	0	127
1989	44127	Jabaloyas	407	0	0	0	3576	136	163	39	124	1	0	31
1989	44128	Jarque de la Val	155	0	0	0	1412	13	29	0	29	0	0	49
1989	44129	Jatiel	52	0	0	0	474	7	5	0	5	1	0	6
1989	44130	Jorcas	234	7	6	1	1899	13	104	58	46	0	0	13
1989	44131	Josa	101	0	0	0	927	24	1	0	1	7	0	2
1989	44132	Lagueruela	128	0	0	0	1130	0	8	8	0	0	0	452
1989	44133	Lanzuela	117	0	0	0	1070	27	0	0	0	0	0	366
1989	44135	Libros	138	13	3	10	1124	4	17	9	8	11	0	30
1989	44136	Lidón	360	32	13	19	3264	11	22	0	22	0	0	31
