Comarca codigo	Comarca nombre	Tipo de estudios realizados, código	Tipo de estudios realizados	Sexo, código	Sexo	Personas
12	Tarazona y el Moncayo	6	Agricultura, Ganadería, Pesca y Veterinaria (incluída Ingeniería Agrónoma o similar)	1	Hombre	25,1173415529
13	Campo de Borja	6	Agricultura, Ganadería, Pesca y Veterinaria (incluída Ingeniería Agrónoma o similar)	1	Hombre	191,7709070716
14	Aranda	6	Agricultura, Ganadería, Pesca y Veterinaria (incluída Ingeniería Agrónoma o similar)	1	Hombre	21,5952326005
15	Ribera Alta del Ebro	6	Agricultura, Ganadería, Pesca y Veterinaria (incluída Ingeniería Agrónoma o similar)	1	Hombre	157,6899200582
16	Valdejalón	6	Agricultura, Ganadería, Pesca y Veterinaria (incluída Ingeniería Agrónoma o similar)	1	Hombre	189,6415012577
17	D.C. Zaragoza	6	Agricultura, Ganadería, Pesca y Veterinaria (incluída Ingeniería Agrónoma o similar)	1	Hombre	3254,6967485597
18	Ribera Baja del Ebro	6	Agricultura, Ganadería, Pesca y Veterinaria (incluída Ingeniería Agrónoma o similar)	1	Hombre	121,7683235993
19	Bajo Aragón-Caspe / Baix Aragó-Casp	6	Agricultura, Ganadería, Pesca y Veterinaria (incluída Ingeniería Agrónoma o similar)	1	Hombre	202,8076377769
20	Comunidad de Calatayud	6	Agricultura, Ganadería, Pesca y Veterinaria (incluída Ingeniería Agrónoma o similar)	1	Hombre	133,6027670434
21	Campo de Cariñena	6	Agricultura, Ganadería, Pesca y Veterinaria (incluída Ingeniería Agrónoma o similar)	1	Hombre	137,4228739297
22	Campo de Belchite	6	Agricultura, Ganadería, Pesca y Veterinaria (incluída Ingeniería Agrónoma o similar)	1	Hombre	61,3017368523
