Año	Comarca código	Comarca nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total
2013	01	La Jacetania	25605	13723	909	310	2697	36	44	87	42	108	1	20219	2243	19	45824
2013	02	Alto Gállego	18363	10219	454	196	1526	22	40	46	30	62	4	14968	2357	12	33331
2013	03	Sobrarbe	6899	1325	173	121	1671	27	21	23	43	112	2	4975	1452	5	11874
2013	04	La Ribagorza	13613	3369	305	99	2795	40	38	24	36	224	3	9848	2901	14	23461
2013	05	Cinco Villas	20531	4680	578	48	3218	70	64	126	39	91	20	12165	3208	23	32696
2013	06	Hoya de Huesca / Plana de Uesca	39310	20298	2689	105	6405	92	283	481	62	183	11	34802	4144	49	74112
2013	07	Somontano de Barbastro	14551	4109	707	64	2348	41	62	103	46	99	5	9733	2127	22	24284
2013	08	Cinca Medio	12171	3395	605	18	2503	33	35	70	18	23	5	8856	2133	18	21027
2013	09	La Litera / La Llitera	10363	2204	303	12	2160	23	35	48	15	36	0	6573	1720	17	16936
2013	10	Los Monegros	12128	420	143	34	4782	52	69	27	32	88	12	8028	2344	25	20156
2013	11	Bajo Cinca / Baix Cinca	11234	2718	417	57	2410	33	35	96	21	30	5	7345	1502	21	18579
2013	12	Tarazona y el Moncayo	11489	1552	199	24	2898	26	30	36	7	43	5	6237	1404	13	17726
2013	13	Campo de Borja	10045	779	157	24	2360	21	33	24	12	35	6	4954	1493	10	14999
2013	14	Aranda	6012	888	151	5	1951	19	13	28	13	27	2	4392	1288	7	10404
2013	15	Ribera Alta del Ebro	14459	2226	251	26	2391	31	41	114	20	31	2	7935	2781	21	22394
2013	16	Valdejalón	16687	2748	252	32	4196	31	52	105	16	30	6	10824	3340	16	27511
2013	17	Central	352063	144932	28705	485	10861	492	350	6122	123	207	27	205463	12775	384	557526
2013	18	Ribera Baja del Ebro	5786	146	54	22	1352	10	29	15	10	27	1	2757	1085	6	8543
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	8441	1021	232	20	2106	22	23	19	11	22	3	5116	1623	14	13557
2013	20	Comunidad de Calatayud	34646	6756	897	73	6265	80	95	114	44	181	8	19620	5075	32	54266
2013	21	Campo de Cariñena	7809	604	75	14	1755	26	26	36	12	30	8	3859	1267	6	11668
2013	22	Campo de Belchite	5495	65	15	10	814	16	10	8	21	26	4	1721	727	5	7216
2013	23	Bajo Martín	6006	404	53	11	670	12	11	13	10	26	2	2441	1219	10	8447
2013	24	Campo de Daroca	8837	286	51	59	1120	36	25	14	26	68	0	3129	1436	8	11966
2013	25	Jiloca	13849	1148	145	34	3287	34	24	24	36	96	6	7849	3005	10	21698
