Año	Municipio código	Municipio nombre	Tipo de presupuesto	Estado de la información	Área gastos, total	Área gastos, deuda pública	Área gastos, servicios públicos básicos	Área gastos, actuaciones protección y promoción social	Área gastos, producción bienes públicos carácter preferente	Área gastos, actuaciones carácter económico	Área gastos, actuaciones carácter general
2010	22906	Santa María de Dulcis	Liquidaciones	Consolidada	385491,08	4367,87	80951,24	12535,17	156118,09	23445,48	108073,23
2010	22907	Aínsa-Sobrarbe	Liquidaciones	Consolidada	3855095,74	204144,7	478410,61	670419,39	1054896,57	468042,99	979181,48
2010	22908	Hoz y Costeán	Liquidaciones	Consolidada	512860,84	0	37210,83	0	471,46	92347,55	382831
2010	22909	Vencillón	Liquidaciones	Consolidada	491955,78	3871,27	123785,71	0	267369,17	7523,84	89405,79
2010	44001	Ababuj	Liquidaciones	Consolidada	164529,34	211,45	37000	4858,32	8973	57932,37	55554,2
2010	44002	Abejuela	Liquidaciones	Consolidada	270174,44	15171,02	192859,88	0	0	0	62143,54
2010	44003	Aguatón	Liquidaciones	Consolidada	161482,03	0	106795,94	1183,75	2360,72	0	51141,62
2010	44004	Aguaviva	Liquidaciones	Consolidada	898113,73	24370,05	427187,58	103194,55	45628,31	5478,47	292254,77
2010	44005	Aguilar del Alfambra	Liquidaciones	Consolidada	238276,47	358,2	51175,16	0	10541,15	137264,4	38937,56
2010	44006	Alacón	Liquidaciones	Consolidada	471718,22	3155,65	130075,75	4143,71	182657,54	44323,99	107361,58
2010	44007	Alba	Liquidaciones	Consolidada	444643,76	2829,96	317154,1	10133,72	0	26377,99	88147,99
2010	44008	Albalate del Arzobispo	Liquidaciones	Consolidada	4647675,13	19374,91	1062923,25	229649,84	1050987,42	1983898,6	300841,11
2010	44009	Albarracín	Liquidaciones	Consolidada	1980867,65	28382,73	633741,79	141064,83	670502,89	65087,82	442087,59
2010	44010	Albentosa	Liquidaciones	Consolidada	591911,62	11534,92	375250,72	0	103444,76	0	101681,22
2010	44011	Alcaine	Liquidaciones	Consolidada	404978,86	0	0	4463,86	42721,11	5510,15	352283,74
2010	44012	Alcalá de la Selva	Liquidaciones	Consolidada	1943902,93	2516,6	783538,43	0	62317,63	510981,14	584549,13
2010	44013	Alcañiz	Liquidaciones	Consolidada	18738654,66	1673745,94	8606374,67	910542,56	4679558,07	739056,33	2129377,09
2010	44014	Alcorisa	Liquidaciones	Consolidada	3899314,18	0	779811,57	619448,88	1012034,02	344318,69	1143701,02
2010	44016	Alfambra	Liquidaciones	Consolidada	728409,13	40903,38	44347,25	0	350204,32	6817,34	286136,84
2010	44017	Aliaga	Liquidaciones	Consolidada	577126,32	1089,76	234954,38	31545,11	100629,22	37500	171407,85
2010	44018	Almohaja	Liquidaciones	Consolidada	202530,62	2250	177576,08	981,44	0	0	21723,1
2010	44019	Alobras	Liquidaciones	Consolidada	155037,04	0	129143,37	2957,16	0	0	22936,51
2010	44020	Alpeñés	Liquidaciones	Consolidada	114531,83	0	83357,82	2014,04	0	0	29159,97
2010	44021	Allepuz	Liquidaciones	Sin información							
