Municipio código	Municipio nombre	Año	Votos	Siglas	Candidatura
22130	Jaca	2016	1470	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ALTO ARAGÓN
50089	Cuarte de Huerva	2019	1468	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22048	Barbastro	2016	1445	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
50251	Tarazona	2019	1441	PP	PARTIDO POPULAR
50067	Calatayud	2016	1440	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ARAGÓN
22158	Monzón	2015	1436	TA	TIERRA ARAGONESA
50182	Muela (La)	2011	1424	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50095	Ejea de los Caballeros	2019	1423	PP	PARTIDO POPULAR
22112	Fraga	2016	1422	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50251	Tarazona	2016	1420	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22112	Fraga	2019	1416	PP	PARTIDO POPULAR
22048	Barbastro	2015	1411	MAS	MOVIMIENTO ARAGONES SOCIAL
50025	Almunia de Doña Godina (La)	2008	1407	PP	PARTIDO POPULAR
22130	Jaca	2015	1405	MAS	MOVIMIENTO ARAGONES SOCIAL
22048	Barbastro	2016	1400	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ALTO ARAGÓN
22130	Jaca	2019	1384	PP	PARTIDO POPULAR
22199	Sabiñánigo	2016	1379	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22199	Sabiñánigo	2015	1378	ALTOARAGONenCOMUN	Alto Aragón en Común
50095	Ejea de los Caballeros	2015	1374	PCTE	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
44025	Andorra	2008	1372	PP	PARTIDO POPULAR
22199	Sabiñánigo	2016	1368	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50298	Zuera	2019	1366	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22130	Jaca	2019	1359	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
50095	Ejea de los Caballeros	2019	1354	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
50297	Zaragoza	2008	1352	LV	LOS VERDES-GRUPO VERDE
44025	Andorra	2016	1340	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50251	Tarazona	2015	1335	ALTOARAGONenCOMUN	Alto Aragón en Común
50288	Villanueva de Gállego	2011	1334	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50008	Alagón	2011	1322	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50074	Caspe	2016	1320	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50025	Almunia de Doña Godina (La)	2016	1316	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50298	Zuera	2011	1304	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22112	Fraga	2015	1302	TA	TIERRA ARAGONESA
50298	Zuera	2015	1297	F.I.A.	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
50074	Caspe	2008	1294	PP	PARTIDO POPULAR
44050	Calamocha	2011	1287	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50055	Borja	2011	1280	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
22158	Monzón	2016	1277	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
50008	Alagón	2011	1277	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50074	Caspe	2015	1277	ALTOARAGONenCOMUN	Alto Aragón en Común
50219	Puebla de Alfindén (La)	2011	1275	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
22199	Sabiñánigo	2015	1273	F.I.A.	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
50182	Muela (La)	2008	1272	PP	PARTIDO POPULAR
50252	Tauste	2011	1269	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22130	Jaca	2015	1268	TA	TIERRA ARAGONESA
44238	Utrillas	2008	1266	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
44025	Andorra	2015	1262	ALTOARAGONenCOMUN	Alto Aragón en Común
44013	Alcañiz	2016	1254	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
50099	Épila	2008	1248	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50160	Mallén	2008	1248	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50074	Caspe	2016	1247	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50008	Alagón	2019	1246	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50272	Utebo	2019	1243	PP	PARTIDO POPULAR
50297	Zaragoza	2016	1240	VOX	VOX
50089	Cuarte de Huerva	2015	1234	PCTE	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
22158	Monzón	2019	1233	PODEMOS-IU-EQUO	UNIDAS PODEMOS
50025	Almunia de Doña Godina (La)	2015	1233	F.I.A.	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
50163	María de Huerva	2011	1228	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50055	Borja	2008	1226	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50204	Pedrola	2008	1210	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50089	Cuarte de Huerva	2008	1209	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22112	Fraga	2015	1195	MAS	MOVIMIENTO ARAGONES SOCIAL
22213	Sariñena	2011	1178	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50099	Épila	2011	1172	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
22130	Jaca	2016	1160	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
22048	Barbastro	2019	1155	VOX	VOX
50089	Cuarte de Huerva	2016	1155	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ARAGÓN
50115	Fuentes de Ebro	2008	1151	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50272	Utebo	2011	1149	CHA-IU	CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, LA IZQUIERDA DE ARAGÓN: LA IZQUIERDA PLURAL
50251	Tarazona	2016	1145	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ARAGÓN
50252	Tauste	2019	1145	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50095	Ejea de los Caballeros	2019	1143	PODEMOS-IU-EQUO	UNIDAS PODEMOS
